stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,liver,mesenchyme,neural,notochord,otic,pronephros,spinal.cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,2.63,0,0,0,7.89,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,4,13,0,0,0,1,0,0,0,0,1,0,0,0,1
 24-34,0,8.21,1.64,0,0.82,0,0,0,0.82,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,1.96,0,0,0.98,0.98,0.98,0,0,0,0.98,2.94,0,0,0.98,0
 72-82,0,3.93,0.98,0.98,1.96,0,0.98,0,0,0,0,1.96,0,0,0.98,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,3.28,0,0,1.09,0,2.19,0,0,0,0,2.19,0,0,0,0
108-118,0,3.83,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
