stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,6,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,21.34,0,0,32.01,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0,1.61,0,78.96,0,0,62.84,5.64,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,5.16,0,0,0.57,0,0.57,0,142.88,0,0,52.79,5.16,0,0.57,0,0,0,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,1.96,1.96,0,0,0,3.93,0,201.21,0.98,1.96,28.46,6.87,0,0,1.96,0,0,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,1.96,0,16.69,0.98,0,0.98,2.94,2.94,0,0.98,3.93,0,474.14,0,3.93,48.1,21.6,0,0.98,1.96,0,1.96,0,0,0,1.96,0,1.96,0,5.89,0
 84-94,0,1.06,0,0,23.36,0,1.06,1.06,0,0,0,2.12,2.12,1.06,280.38,0,5.31,26.55,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,0,4.25,0
 96-106,0,0,0,0,20.76,0,1.09,1.09,4.37,1.09,0,0,2.19,0,350.8,0,2.19,24.04,20.76,0,1.09,1.09,0,2.19,1.09,0,2.19,0,0,6.56,1.09,3.28,0
108-118,0,0,0,0,9.96,0,2.3,0.77,0.77,0.77,1.53,0.77,2.3,0,356.94,0,0.77,20.68,23.74,0,0,0,0,2.3,0,0,0,0,0,3.06,0,1.53,0.77
120,0,0,1.96,1.96,11.76,0,0,1.96,1.96,1.96,1.96,3.92,0,0,201.86,0,3.92,23.52,9.8,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0
