stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,2,2,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0.82,0,0,1.64,0,0,18.06,4.1,4.1,0,0,0,0,0,2.46,4.93,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,1.61,0,1.61,0,0,18.53,1.61,4.03,0,0,0,0,0,0.81,0.81,0
 48-58,0.57,0,0,0,3.44,0,0.57,0,0,0,0.57,0,0.57,0,2.3,0,0,3.44,0.57,8.61,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,7.85,0.98,1.96,0,0,0,0,0,0,0,1.96,0,0.98,7.85,1.96,4.91,0,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,0,0,30.43,0,5.89,0,0.98,0,0.98,0,1.96,0,2.94,0,0,16.69,1.96,22.58,0,0,0,0,0,0.98,0.98,0
 84-94,1.06,0,1.06,0,18.05,0,2.12,0,0,0,0,0,1.06,0,1.06,1.06,0,9.56,2.12,29.74,0,0,0,0,0,2.12,0,0
 96-106,1.09,0,0,0,28.41,0,7.65,1.09,0,0,2.19,0,3.28,0,3.28,0,0,6.56,1.09,33.88,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,0,0,29.11,0,7.66,0,0,0.77,1.53,0,1.53,0.77,0.77,0,0,6.89,1.53,15.32,0,0.77,0,0,0,0,0,0
120,0,0,0,0,25.48,0,7.84,0,0,0,0,0,5.88,0,1.96,0,0,13.72,0,15.68,0,0,0,0,0,1.96,0,0
