stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,9.85,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0.81,0,0,1.61,0,0,0,9.67,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,5.74,0,0,1.72,0,0,0.57,0.57,0,0,0,0,4.59,0,0,0,11.48,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,59.87,0,0,0.98,0,0,0,0,0,0.98,0,0,7.85,0,0,0,5.89,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,2.94,0,264.07,0,0,17.67,0,0.98,0.98,0.98,0.98,0,0,0.98,8.83,0,0,0,23.56,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,151.87,0,0,12.74,0,0,1.06,0,0,0,0,0,7.43,0,0,0,14.87,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,2.19,1.09,227.31,1.09,0,16.39,0,0,3.28,0,1.09,1.09,0,0,10.93,0,1.09,1.09,22.95,0,1.09,0,2.19,1.09,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,2.3,0.77,141.7,0,0,9.19,0.77,0,0,0.77,0.77,0,0,1.53,3.06,0.77,0,0,8.43,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,3.83,0
120,0,0,0,1.96,0,109.75,1.96,0,1.96,0,0,0,0,0,0,1.96,0,7.84,0,0,1.96,17.64,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
