stage,axial,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,4.1,0,0.82,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,1.15,0,0,1.15,0.57,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,1.96,0,0,2.94,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,1.96,0.98,0,0,0,0.98,0.98,0.98,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,3.19,0,1.06,1.06,0,0,0,3.19,0,0,1.06,0,0,1.06
 96-106,0,0,0,1.09,1.09,2.19,6.56,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0,3.06,1.53,0.77,0,0.77,0.77,0,0,1.53,0,0,0,0,0,0.77
120,0,0,1.96,1.96,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
