stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,presomitic_mesoderm,pronephros,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.15,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,1.96,0,0,0.98,0,0.98,0,0,0,2.94,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,1.96,2.94,0.98,0.98,0,0,1.96,0,0,0,0,1.96,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,4.25,3.19,2.12,0,0,0,3.19,0,0,0,0,2.12,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,0,0,2.19,20.76,1.09,0,0,0,2.19,1.09,0,0,2.19,5.46,0,0,1.09,0
108-118,0,0.77,0,0,1.53,1.53,0,0,4.6,69.7,0.77,0,0,0,1.53,0,0,0,1.53,6.89,0,0,1.53,0
120,0,1.96,0,0,0,0,1.96,0,5.88,31.36,0,0,1.96,1.96,1.96,0,1.96,0,0,5.88,0,1.96,0,0
