stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,668.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,31.54,0,13.14,0,0,184.01,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,1030.46,7.89,0,0,99.89,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,66.09,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,415.4,3.15,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,1,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,40,0,0,0,1,0,5,4,0,1,17,14,0,0,0,0
 24-34,0,0,0,0,4.1,1.64,17.24,0,0,0,0,0,0.82,0,1.64,0.82,0,0,7.39,0,0,5.75,45.15,0,0,0,0,0,2.46,0,0.82,0,3.28,9.85,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,56.4,0,0,4.83,0,0,0,0,0,0,0,0,13.7,0,0,2.42,24.17,0,0.81,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,179.03,0,1.72,6.31,0,0,0,0,0,0,0,0,10.33,0,0,1.15,21.8,0,0.57,0.57,0,0,2.3,0,0,0,0,3.44,1.15,0,0,0
 60-70,0,0,0,0,1.96,0,222.81,0,0,0.98,0,0,0,0,0,0,0,0,10.8,0,0,2.94,37.3,0,0,0.98,0,1.96,0.98,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,3.93,0,312.17,0.98,0,12.76,0,0,0,0,0,0,0.98,0,21.6,0.98,0.98,1.96,35.34,0,0.98,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,0,3.19,1.06,190.1,0,0,8.5,3.19,0,1.06,0,1.06,1.06,0,1.06,21.24,0,1.06,3.19,16.99,0,1.06,0,0,0,6.37,0,1.06,0,0,1.06,0,0,2.12,0
 96-106,0,0,0,0,2.19,0,144.26,1.09,0,8.74,1.09,0,0,0,0,0,0,0,17.49,0,1.09,2.19,12.02,2.19,0,3.28,0,1.09,1.09,0,0,0,0,0,1.09,3.28,1.09,1.09
108-118,0,0,0,0,1.53,0,99.58,0,0.77,6.89,0.77,0,0,0.77,0.77,0,0,0,19.92,0,0.77,1.53,22.98,0.77,0,0,0,0.77,0.77,0,0,0,0,1.53,0.77,1.53,1.53,0
120,0,0,0,1.96,1.96,1.96,62.71,0,1.96,0,0,0,0,0,0,0,0,0,11.76,0,0,1.96,19.6,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
