stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,1.64,0.82,137.08,0,1.64,0,20.52,0,0,0,0,0,0,0,0,4.1,0,0,1827.23,0.82,0.82,0,0,1.64,0,0.82,1.64,224.09,0,0,0.82,0,0
 36-46,1.61,0,876.57,0,0,0.81,301.32,0,0,0.81,0.81,0,0.81,0,0,13.7,0.81,5.64,3759.25,0,0.81,2.42,0,4.83,0,0,0,927.33,0,0,2.42,0,0
 48-58,6.89,0.57,1159.09,0.57,0.57,0.57,533.64,0,0.57,0,1.72,0,0.57,0,1.15,21.8,2.3,4.59,2694.01,1.15,0.57,0,0,2.87,0,0,0,951.94,0,0.57,3.44,0,1.72
 60-70,0.98,0.98,660.56,0,0,0.98,419.11,0,0,0.98,0,1.96,0,0,0,8.83,0.98,0,1209.24,0,0,0.98,0,3.93,0,0,0,291.51,0,0,0,0,0.98
 72-82,7.85,0,404.44,0.98,0,3.93,350.45,2.94,0,0,0,0.98,0,0,0,13.74,0,4.91,973.81,0,1.96,3.93,0,2.94,0,0,0,92.28,0.98,0.98,2.94,0,1.96
 84-94,7.43,1.06,288.87,0,0,1.06,228.34,0,0,0,3.19,2.12,0,0,0,15.93,2.12,1.06,512.96,1.06,1.06,1.06,0,1.06,1.06,1.06,0,77.53,0,1.06,1.06,1.06,0
 96-106,14.21,3.28,209.83,0,0,0,186.88,1.09,0,1.09,0,1.09,0,0,0,15.3,0,0,453.53,1.09,0,0,1.09,0,0,0,0,28.41,0,1.09,1.09,1.09,0
108-118,7.66,0,180.77,0,0,0,202.98,0.77,0,0,0.77,0,0,0,0,6.89,0,0,592.86,0,0.77,0.77,0,2.3,0,0,0,17.62,0,0,0.77,0,0
120,15.68,3.92,158.74,0,0,0,194.02,0,0,0,0,0,1.96,1.96,0,11.76,0,0,450.75,0,1.96,1.96,0,1.96,0,0,0,13.72,0,0,1.96,0,0
