stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,periderm,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,2.87,0.57,0,0.57,0.57,0.57
 60-70,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0.98,0,2.94,0,0,0.98,0,0
 72-82,0.98,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,6.87,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,2.12,1.06,0,1.06,4.25,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,3.28,2.19,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0.77,0,0.77,0.77,2.3,0,0,0,3.83,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
