stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,135.32,0,0,40.91,0,0,0,0,0,0,0
 14-21,0,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,184,1,0,1,0,1,0,15,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,146.11,0,0.82,0,0.82,0,0.82,9.85,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,219.14,0,0,0,0,0,0,34.64,0,0,0
 48-58,0,0,0,0.57,8.03,0,0.57,3.44,0,0,0.57,0,0,2.3,0,0,264.52,0,0,0,1.15,0,0,57.38,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,1.96,0,0,0,0,1.96,1.96,0,0.98,222.81,0,0,0,0,0,0,37.3,0,0,0.98
 72-82,0,0,0,0.98,19.63,0,0.98,8.83,0,0,0,0,0,6.87,0.98,0.98,206.15,0,0,0,0.98,0,0,7.85,0,0.98,0
 84-94,0,0,0,5.31,20.18,0,0,6.37,0,0,0,0,0,8.5,1.06,0,128.51,0,0,0,0,0,0,7.43,0,0,0
 96-106,0,0,1.09,6.56,13.11,1.09,1.09,3.28,0,0,0,0,0,10.93,0,0,103.82,0,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,3.83,0,0,4.6,0,0.77,0,0.77,0,3.83,0,0.77,130.21,0,0,0,0.77,0,0,0.77,0,0,0
120,0,0,0,1.96,9.8,0,0,1.96,0,0,0,0,0,3.92,1.96,0,113.67,1.96,0,0,0,0,0,0,0,0,0
