stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,7,0,0,0,0,0,3,2,5,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,5.75,1.64,0,0,0,1.64,0,0,0.82,6.57,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,7.25,0,0,0,2.42,0,0,0,5.64,0,0
 48-58,0,0.57,0,0,1.15,0.57,0,0,0.57,0,0,0,0,1.72,0,2.87,6.31,0,0,0,0,0,0.57,0,5.16,0,0
 60-70,0,0,0,0,0.98,3.93,0.98,0,0,0.98,0,0,0,9.82,0,1.96,26.5,0,0,0,0,0,1.96,0,8.83,0,0
 72-82,0,0,0,0,6.87,3.93,0.98,0,1.96,0,0,0.98,0.98,14.72,1.96,1.96,38.28,0,0,0,0.98,0,0,0,8.83,0.98,0
 84-94,0,1.06,0,0,7.43,0,1.06,1.06,2.12,0,0,1.06,0,14.87,0,3.19,16.99,0,0,1.06,0,0,5.31,0,1.06,0,1.06
 96-106,0,4.37,0,0,6.56,0,0,1.09,3.28,1.09,0,3.28,0,4.37,0,2.19,30.6,0,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,2.3,3.83,0.77,1.53,0,2.3,0,0,3.06,0,3.83,0,2.3,26.81,0,0,0.77,0,0.77,3.06,0,2.3,0,0
120,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,1.96,0,3.92,17.64,1.96,0,0,1.96,0,1.96,0,1.96,0,0
