stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,9,5,0,0,0,0,2,0,2,2,0,0,0,0,0
 24-34,0,0.82,13.13,0,0,1.64,0,0.82,0.82,1.64,0,0,0,0,0,0,0,0,4.93,0,0,1.64,26.27,1.64,0,0,0,0,25.45,1.64,0,5.75,0,0,0.82,0,0
 36-46,0,0,12.09,0,0,2.42,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0,8.06,0,0,1.61,31.42,0,0.81,0,0,0,38.67,0,0,15.31,0,0,0.81,0,0
 48-58,0,0,9.18,0.57,0,9.75,0.57,4.02,1.15,10.33,0.57,0,0.57,0,1.15,0,0,0,6.89,0,0,2.87,37.87,0,2.87,1.15,0,0,29.84,1.15,0,14.92,0,0,0.57,0,0.57
 60-70,0,0,14.72,0,0,17.67,0,3.93,0.98,15.7,0,0.98,0,0,0.98,0,0,0,9.82,0,0,0.98,30.43,0.98,0,0,0,0,23.56,0,0,8.83,0,0,0,0,0
 72-82,0,0,22.58,0,0,16.69,0.98,6.87,4.91,14.72,0,0,0.98,0.98,3.93,0,0.98,0,21.6,1.96,1.96,2.94,51.05,0,1.96,1.96,0,1.96,22.58,0,0,4.91,0,0,0.98,0,0.98
 84-94,0,0,61.6,0,0,14.87,0,15.93,1.06,8.5,5.31,0,0,0,2.12,1.06,1.06,2.12,13.81,4.25,1.06,1.06,18.05,0,2.12,2.12,0,0,52.04,1.06,0,5.31,1.06,1.06,0,0,0
 96-106,0,1.09,48.09,1.09,0,9.84,0,13.11,0,13.11,8.74,0,4.37,0,2.19,1.09,0,1.09,25.14,2.19,2.19,2.19,19.67,0,5.46,0,0,0,66.66,1.09,0,1.09,1.09,2.19,2.19,2.19,1.09
108-118,0,0,62.81,0,2.3,11.49,0,18.38,1.53,14.55,5.36,0,0.77,0,3.83,0,0.77,2.3,17.62,0.77,0.77,0.77,20.68,0,4.6,4.6,0,0,62.81,0.77,0,0.77,2.3,0,0,0,0
120,0,0,76.43,0,0,5.88,0,27.44,3.92,9.8,7.84,0,0,0,5.88,0,0,3.92,21.56,0,0,0,27.44,3.92,5.88,1.96,0,1.96,60.75,3.92,0,1.96,1.96,0,1.96,0,0
