stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,8.21,0,0,2.46,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,25.45,0.82,0,0,0,0,3.28,1.64,0,3.28,0,0.82
 36-46,0,0,0,12.09,0,0,7.25,0.81,0.81,0,2.42,0,0,0,0,0,0,5.64,0,0,55.59,0,0.81,0,0,0,2.42,0.81,0,16.92,0,0.81
 48-58,0,0,0,5.74,0.57,0,11.48,0,0.57,0.57,6.89,0,0,0,0,0,0,5.74,0,1.15,58.53,1.15,0,0.57,0,0,2.3,0,0,13.2,0,0
 60-70,0,0,0,19.63,0,0,21.59,1.96,1.96,0,6.87,0.98,0,0,1.96,0.98,0.98,18.65,0.98,0.98,71.65,0,0,0.98,0,0,4.91,0,0.98,11.78,0,0
 72-82,0,0,0,10.8,0,0,21.6,0,1.96,1.96,6.87,0,0.98,0,0,0,0,15.71,0.98,0.98,42.21,0.98,0,0,0,0,5.89,0,0,4.91,0,0
 84-94,0,0,0,9.56,0,0,12.74,0,2.12,1.06,5.31,0,0,0,0,0,0,7.43,0,1.06,25.49,1.06,0,1.06,0,0,4.25,1.06,0,2.12,1.06,0
 96-106,0,0,0,1.09,0,0,6.56,0,1.09,0,2.19,1.09,1.09,0,0,0,0,4.37,0,1.09,19.67,0,0,0,0,1.09,3.28,0,0,0,0,1.09
108-118,0,0,0,12.26,0,0.77,4.6,0,2.3,0,0,1.53,0,0,0,0.77,0,3.06,0,0.77,10.72,0.77,0,0,0,0.77,3.06,0,0,0,0,0
120,0,0,0,11.76,0,1.96,3.92,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,15.68,1.96,0,1.96,0,0,7.84,0,0,0,0,1.96
