stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,141.61,6.29,0,0,25.18,0,6.29,3.15,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,4,3,204,41,0,5,5,0,0,5,7,2,12,20,0,0,0,6,16,0,0,7,116,10,5,3,4,0,131,0,6,16,4,11,60,0,0,29,0,11
 24-34,0,0,4.93,4.1,100.14,11.49,0,45.15,15.6,0,9.03,4.1,1.64,5.75,29.55,65.67,0,4.1,1.64,25.45,32.83,18.88,0,27.09,348.04,5.75,43.51,9.85,0,0.82,357.07,0,0,24.63,0.82,3.28,124.77,0,0,100.14,0,32.83
 36-46,0,0,0.81,0.81,42.7,0,0,49.15,12.09,0.81,37.87,4.03,1.61,8.06,34.64,24.98,1.61,6.45,1.61,17.72,37.87,9.67,2.42,8.06,299.71,4.03,33.03,4.83,0,0,341.6,0.81,0.81,10.47,0,0,81.37,0,0,31.42,0,28.2
 48-58,0,0,0.57,0,43.61,1.72,0,86.64,24.1,3.44,74.02,1.72,5.16,9.18,37.3,9.18,5.16,5.74,0.57,9.18,53.94,13.2,4.02,8.61,181.9,2.87,29.84,8.61,0,0.57,329.36,0,0,7.46,0,0,72.3,0,0.57,42.46,0,30.41
 60-70,0,0,1.96,0,45.15,2.94,0,74.6,26.5,3.93,122.69,10.8,1.96,2.94,50.06,12.76,4.91,6.87,3.93,8.83,76.56,11.78,4.91,5.89,139.38,0.98,35.33,14.72,0,0,250.29,0,0.98,9.82,0,0,41.22,2.94,1.96,46.13,0,31.41
 72-82,0,0,18.65,0.98,98.17,7.85,0.98,102.09,36.32,12.76,169.83,39.27,2.94,12.76,78.53,35.34,5.89,19.63,3.93,4.91,119.76,21.6,11.78,8.83,164.92,0,58.9,31.41,0,2.94,292.54,0.98,0,9.82,0,0,19.63,15.71,3.93,78.53,5.89,18.65
 84-94,0,0,15.93,1.06,183.73,8.5,1.06,99.83,58.41,7.43,99.83,72.22,5.31,2.12,114.7,64.78,15.93,9.56,4.25,10.62,92.4,18.05,7.43,8.5,112.58,3.19,57.35,26.55,0,2.12,812.46,0,0,16.99,0,0,23.36,44.61,7.43,78.59,7.43,21.24
 96-106,0,0,18.58,1.09,271.03,17.49,1.09,108.19,76.5,9.84,98.36,88.52,1.09,10.93,159.56,85.24,12.02,33.88,15.3,4.37,116.93,22.95,16.39,9.84,136.61,2.19,78.68,42.62,0,8.74,703.79,0,0,25.14,0,0,17.49,101.63,9.84,111.47,9.84,33.88
108-118,0,0,7.66,1.53,239.75,9.96,9.96,85.02,87.32,5.36,86.55,101.11,0,5.36,131.75,66.64,26.81,22.21,21.45,8.43,104.17,16.09,8.43,12.26,171.58,9.96,57.45,33.7,0,2.3,592.86,0,0,19.92,0,0,9.96,75.83,0.77,73.53,9.96,29.11
120,0,0,7.84,0,135.23,25.48,3.92,58.79,47.03,0,82.31,70.55,0,11.76,113.67,25.48,7.84,7.84,11.76,0,70.55,17.64,9.8,9.8,109.75,7.84,27.44,11.76,0,1.96,321.4,0,0,11.76,0,0,7.84,23.52,1.96,33.32,5.88,1.96
