stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,3,0,6,0,0,0,4,1,0,0,0,0,0,0,0,16,0,11,106,1,5,1,3,0,0,0,11,0,15,41,0,0,2,0,1
 24-34,0,2.46,0.82,3.28,1.64,0,18.06,0,0,0,1.64,0.82,0,0,0,0,0,0.82,0,22.98,0,9.85,197.01,0,4.93,3.28,0,0,0,0,0,0.82,2.46,41.04,0,0,6.57,0,0
 36-46,0,0,0,3.22,0,0,51.56,0,0,0,6.45,0,0.81,0,0,0,0,0,0.81,35.45,0.81,9.67,190.94,0.81,4.83,0,0,0,0,0,0,0,0,44.31,0,0,2.42,0.81,0
 48-58,0,0,0,1.15,0,0,98.69,0,0,2.3,17.21,0,0,0.57,0,0.57,0.57,0,0,32.71,0,5.16,158.37,0,4.02,1.15,0,0,0.57,0,0,0,0,30.41,0,0.57,1.72,0,1.15
 60-70,0,0,0,2.94,1.96,0,122.69,0,0.98,0.98,22.58,0.98,1.96,0.98,0,0,0,1.96,0,47.11,0,2.94,215.93,0,2.94,0.98,0,0.98,0.98,0,0,0.98,0,38.28,0,1.96,5.89,0.98,0.98
 72-82,0,0.98,0,4.91,0.98,0,140.38,0,0,1.96,47.12,2.94,1.96,0.98,0,1.96,2.94,0,0.98,71.66,4.91,7.85,231.67,0,4.91,0,0,0,0,0,0,0.98,0,35.34,0,3.93,1.96,0.98,0
 84-94,0,1.06,0,7.43,4.25,0,63.72,0,0,5.31,26.55,1.06,2.12,3.19,0,1.06,0,0,1.06,39.3,6.37,4.25,95.58,0,4.25,1.06,0,1.06,3.19,0,0,0,0,10.62,0,1.06,3.19,2.12,5.31
 96-106,0,2.19,0,6.56,1.09,0,64.48,1.09,1.09,2.19,33.88,1.09,0,3.28,0,1.09,4.37,1.09,1.09,48.09,2.19,4.37,98.36,1.09,9.84,1.09,0,0,1.09,0,0,3.28,0,6.56,0,1.09,6.56,2.19,2.19
108-118,0,0.77,0,9.19,3.06,0.77,47.49,0,0.77,2.3,32.17,0,0,3.06,0.77,2.3,0,1.53,0,49.79,3.06,5.36,115.66,0.77,3.83,1.53,0,0.77,0.77,0,0,0,0,9.19,2.3,0.77,2.3,2.3,3.06
120,0,3.92,0,7.84,5.88,0,41.16,0,1.96,1.96,54.87,0,0,1.96,0,1.96,1.96,5.88,1.96,43.12,1.96,7.84,107.79,0,11.76,1.96,0,0,0,0,0,0,0,3.92,0,0,9.8,1.96,1.96
