stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,17.24,4.93,0,0,0.82,0,0.82,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,1.61,0,0,0,0,0,0,15.31,3.22,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0.81,0
 48-58,0,0.57,0,0,0,0,0,1.15,16.64,1.72,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,0.98,0,0,0,0,0,0.98,23.56,2.94,0,0,2.94,0,0,1.96,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0.98,3.93,0,0.98,1.96,0,46.14,1.96,0,3.93,0.98,0.98,0,2.94,0,0,0,4.91,1.96,0,0,1.96,0
 84-94,0,0,1.06,3.19,0,1.06,3.19,1.06,78.59,6.37,0,7.43,0,4.25,0,2.12,0,0,0,19.12,4.25,0,0,4.25,0
 96-106,0,4.37,1.09,2.19,0,2.19,6.56,0,92.89,6.56,0,13.11,1.09,1.09,1.09,8.74,0,1.09,0,12.02,1.09,0,0,6.56,0
108-118,0.77,2.3,0,0,0,0.77,12.26,0,65.87,9.96,0,11.49,1.53,3.06,0,9.96,0,0,0.77,11.49,1.53,0,0,5.36,0
120,0,0,1.96,1.96,1.96,1.96,17.64,0,66.63,1.96,1.96,19.6,0,1.96,1.96,11.76,0,0,0,11.76,7.84,0,1.96,9.8,1.96
