stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,2,0,0,0
 24-34,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0.82,0,1.64,8.21,0,0,0,0,0,0,0,0.82,3.28,0.82,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,0.81,0,0,0,0,0,0,0.81,6.45,0,0,0,0,0,0,0,2.42,0.81,0.81,0,0,0
 48-58,0,0,0,0,0,1.72,8.61,0,0,0,0,0,0,0,0,0,0,2.87,6.89,0.57,0,0,0,0,0,0.57,4.02,0,2.3,0,0,0
 60-70,0,0,0,0,0,1.96,31.41,0,0,0,0,0,0,0,0,2.94,0,7.85,5.89,0,0,0,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,10.8,56.94,0,2.94,0,0,1.96,0,0,0,6.87,0.98,7.85,11.78,0,0,0,0,0,1.96,0,5.89,0,0,0,0,0.98
 84-94,0,1.06,1.06,0,0,5.31,91.34,1.06,1.06,1.06,0,1.06,3.19,1.06,1.06,6.37,0,15.93,6.37,0,0,0,0,0,1.06,0,3.19,0,1.06,1.06,2.12,2.12
 96-106,0,0,5.46,3.28,0,7.65,166.11,0,4.37,1.09,1.09,6.56,0,0,1.09,16.39,2.19,14.21,31.69,0,1.09,2.19,0,0,4.37,0,3.28,0,3.28,0,1.09,1.09
108-118,0,0,0,0.77,0.77,8.43,187.66,0,3.06,0,0,6.89,0,0,0,6.89,0.77,15.32,11.49,1.53,0,0,0,1.53,0.77,0,3.06,0,0,0,0.77,0
120,0,0,1.96,0,0,5.88,86.23,0,1.96,0,0,7.84,0,0,0,5.88,0,11.76,15.68,0,0,0,0,0,0,0,3.92,0,0,0,0,0
