stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,5,27,2,19,0,0,0,5,1,0,0,1,0,0,0,31,0,9,245,5,2,3,6,3,28,3,3,22,79,1,0,0
 24-34,0,0.82,0.82,5.75,0.82,35.3,0,0,0,3.28,0,0.82,0,0,2.46,0,0,25.45,0,9.03,259.39,1.64,0.82,3.28,0,1.64,0,0,0,1.64,54.18,4.93,0,0.82
 36-46,0,0,0,0,0,26.59,0.81,0,0.81,3.22,0,0,0,0,0,0,0,16.92,0,2.42,110.38,0,0,1.61,0,0.81,0,0,0,0,25.78,0.81,0,0.81
 48-58,0,0,0,2.3,0,38.44,0,0,0,9.18,1.15,0.57,0.57,0,0,0.57,0,13.2,0.57,5.16,52.79,0.57,0.57,0.57,0,0,0,0,0,0,8.61,1.15,0,0.57
 60-70,0,0,0,1.96,0,21.59,0,0,0,6.87,0,0,0,0,0,0,0,16.69,0,0.98,43.19,0,0,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,17.67,0,0,1.96,10.8,0.98,0,0,0,0.98,0,0,30.43,0.98,3.93,47.12,0,0.98,0,0,1.96,0,0,0,0,3.93,3.93,0.98,0.98
 84-94,0,0,0,4.25,0,20.18,0,0,1.06,8.5,1.06,0,1.06,1.06,0,0,1.06,14.87,2.12,5.31,13.81,2.12,2.12,0,0,0,0,0,0,0,4.25,0,2.12,0
 96-106,0,0,0,4.37,0,8.74,0,0,0,9.84,2.19,1.09,0,1.09,1.09,0,0,7.65,0,4.37,14.21,0,1.09,0,0,2.19,0,0,0,0,3.28,5.46,2.19,0
108-118,0,0.77,0,2.3,0,9.96,0.77,0.77,1.53,1.53,1.53,0.77,0,0,0,0.77,0,10.72,0,0.77,16.85,0,0,0,0,0.77,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,0,9.8,0,0,0,3.92,0,0,0,0,1.96,0,0,13.72,0,5.88,23.52,0,0,0,0,0,0,0,0,0,1.96,0,0,0
