stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,55,0,0,0.82,0,78.8,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,7.39,0,0,0,0.82,0,0,0.82,0,0,0,0,0
 36-46,0,0,70.9,0,0,0,0,115.21,2.42,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,10.47,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,117.63,0,0,5.74,0,184.19,1.15,1.15,0,0,0,0,0,0,0,0,1.72,6.89,1.72,0,0,16.07,0,0,0,0.57,0,1.15,2.3,0,0,0,0,0
 60-70,0,0,215.93,0,0,29.45,0.98,196.3,7.85,2.94,0,0,0,0,0,0,0.98,0,0.98,44.17,2.94,1.96,0,12.76,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0.98
 72-82,0,0,410.33,0.98,0,71.66,0,211.06,20.61,3.93,0.98,0,0,0,0.98,0.98,0,0,3.93,135.47,7.85,5.89,3.93,29.45,0.98,1.96,0,0.98,0,0,1.96,0,0.98,0,0.98,1.96
 84-94,0,1.06,949.46,0,0,50.98,0,416.32,8.5,2.12,1.06,0,1.06,1.06,1.06,0,1.06,0,2.12,87.09,14.87,7.43,2.12,10.62,0,1.06,0,2.12,0,0,0,1.06,2.12,1.06,1.06,0
 96-106,0,0,1301.58,3.28,1.09,66.66,0,451.35,14.21,4.37,0,0,1.09,0,1.09,1.09,0,1.09,3.28,124.58,19.67,5.46,4.37,41.53,0,1.09,0,9.84,0,0,0,1.09,1.09,4.37,1.09,2.19
108-118,0,0,1232.43,0,0.77,42.89,0,595.15,9.19,2.3,0.77,0,0,2.3,1.53,0,0,0.77,4.6,146.3,11.49,3.83,0.77,27.57,0.77,3.06,0.77,3.06,1.53,0,0,0,1.53,3.06,0,1.53
120,1.96,0,799.59,0,0,35.28,1.96,364.52,5.88,1.96,3.92,0,0,0,1.96,0,0,0,3.92,145.02,11.76,1.96,0,17.64,0,1.96,1.96,1.96,0,0,0,0,0,0,1.96,0
