stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,2,3,5,2,0,3,0,0,0,7,0,0,1,0,0,0,0,4,0,0,0,40,0,1,1,0,0,0,1,2,0,9,43,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,1.64,0,0.82,0,2.46,0,0,0,0,0.82,0,0,10.67,0,0,3.28,137.08,0.82,8.21,0.82,0,6.57,0,0,1.64,0,2.46,55,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,17.72,0,0,0,2.42,0,0,0,0,0,0,0,8.06,0,0,1.61,290.85,0,4.03,0,0,4.83,0,0,0,0,0,64.45,0,0,2.42,1.61
 48-58,0,0,0,0,0,0,0,30.99,0,0,0,4.59,0,0,0,0,0,0,0.57,8.03,0,0,2.3,208.86,0,1.72,0,0,3.44,0,0,0.57,0,0,49.35,0,0,2.3,0
 60-70,0,0,0,0,1.96,1.96,0,63.8,0,0.98,2.94,9.82,0,0,0,0,0,0,0,11.78,0.98,0.98,0,238.51,0,3.93,0,0,6.87,0,0,0,0,0,40.24,0,0,3.93,0.98
 72-82,0,0,0.98,0,3.93,8.83,0,58.9,0.98,0,0,7.85,0.98,0,0,0,0,0.98,0,14.72,0,0.98,0,153.14,0,5.89,0.98,0,0.98,0,0,0,0.98,0,13.74,0,0,0.98,0.98
 84-94,0,0,2.12,0,1.06,2.12,0,28.68,1.06,2.12,2.12,6.37,0,0,0,1.06,0,0,0,9.56,0,0,0,98.77,0,0,3.19,0,6.37,0,0,0,0,0,21.24,1.06,0,1.06,0
 96-106,0,0,0,0,2.19,4.37,1.09,18.58,0,1.09,1.09,8.74,2.19,0,0,0,0,0,2.19,14.21,1.09,0,0,77.59,0,7.65,4.37,1.09,3.28,0,0,0,0,0,3.28,3.28,0,0,0
108-118,0,0,0.77,0,4.6,2.3,0,26.81,0,2.3,0.77,3.83,2.3,0,0.77,0,3.06,0,0.77,6.89,0,0,2.3,74.3,0,1.53,0.77,0,6.13,0,0,0,1.53,0,3.06,0.77,1.53,0,1.53
120,0,0,0,0,3.92,1.96,0,15.68,0,0,0,1.96,0,0,0,0,0,1.96,1.96,3.92,0,0,1.96,52.91,1.96,1.96,1.96,0,5.88,0,0,1.96,0,0,0,1.96,0,0,0
