stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,0,0,0,0,0,0,0,0,73.6,0,0,28.92,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,37.76,0,0,18.88,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,0,1.61,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0,1.06,0,2.12,0,1.06
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0
