stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,6,2,0,0,1,0,0,0,4,0,0,0,0,0,18,0,7,7,0,0,0,0,0,0,14,4,1,0,0,0,0
 24-34,0,0,0,1.64,0.82,2.46,0,0,0,0,3.28,0,0.82,0,0,0.82,11.49,0,5.75,11.49,0.82,0,0,0,1.64,0,19.7,23.8,7.39,0,2.46,0,0
 36-46,0,0,0.81,0,0.81,2.42,0,0.81,0,0,4.03,0.81,0,0,0,0,12.89,0,4.83,12.89,0,0,0,0,0,0.81,7.25,2.42,3.22,0,2.42,0,0
 48-58,0,0,0,0,1.15,3.44,0,0,0.57,0,1.15,0.57,0,0,0.57,0,16.64,0,0.57,26.97,0,0.57,0,0,0,0,4.59,0,1.72,0.57,2.87,0,0
 60-70,0,0,0,0.98,5.89,9.82,0,0.98,1.96,0,0.98,0.98,0,0,0,0,13.74,0.98,4.91,46.13,0,0,0,0.98,0,0,0.98,0,1.96,0.98,1.96,0,0
 72-82,0,0,0,0,29.45,2.94,0,1.96,1.96,0,0,0,0,0,0,0,27.49,0,0.98,56.94,0,0.98,0,0,0,0,0.98,0,1.96,2.94,0,0.98,0
 84-94,0,0,1.06,0,18.05,11.68,0,0,1.06,0,0,3.19,0,0,0,0,26.55,0,2.12,24.43,0,1.06,0,0,1.06,0,1.06,0,0,2.12,1.06,1.06,0
 96-106,0,0,2.19,0,36.06,8.74,0,1.09,3.28,2.19,1.09,6.56,0,1.09,0,0,16.39,1.09,2.19,28.41,0,0,0,0,0,0,3.28,0,0,1.09,1.09,2.19,1.09
108-118,0,0,0.77,0,47.49,9.19,0,0,3.06,0,1.53,1.53,0,0,0.77,0,14.55,0,0.77,37.53,0,0,0,1.53,0.77,0,3.06,0,2.3,1.53,3.83,0,0
120,0,0,0,0,33.32,7.84,0,0,1.96,0,0,5.88,0,0,0,0,5.88,0,7.84,54.87,0,0,0,1.96,0,0,5.88,0,0,3.92,0,0,0
