stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,7.39,2.46,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0,18.88,0,0,0,1.64
 36-46,0,0,6.45,0.81,2.42,0.81,0,0,0,0.81,0,0,2.42,0,0,3.22,2.42,0,0,0,0,0,0,20.14,0.81,0,0,0
 48-58,0,0,4.02,1.15,0.57,0.57,0,0.57,0,1.15,0,0,2.3,0.57,0,0.57,5.16,0,0,0,0.57,0,0,29.84,0,0,0.57,0
 60-70,0,0,7.85,2.94,0,0,0.98,0,0,0,0.98,0,2.94,0,0,3.93,1.96,0,1.96,0,0,0,0,11.78,0,0,0,0
 72-82,0,0,5.89,12.76,3.93,0,0,2.94,0,2.94,0,0,9.82,0,0,0,6.87,0.98,0.98,3.93,0,0,0,8.83,0.98,0,0.98,0
 84-94,0,0,14.87,11.68,6.37,0,0,1.06,0,0,0,0,7.43,0,3.19,1.06,8.5,0,1.06,4.25,0,3.19,0,23.36,0,0,0,0
 96-106,0,1.09,26.23,6.56,12.02,0,0,4.37,1.09,3.28,0,1.09,6.56,1.09,0,3.28,6.56,1.09,0,5.46,0,2.19,1.09,25.14,0,0,1.09,0
108-118,0,0,32.94,11.49,15.32,4.6,0,2.3,0,3.06,0,0,17.62,0,0,1.53,6.89,0,0.77,3.06,0,0,0,22.21,0,0.77,0.77,0
120,0,0,17.64,15.68,11.76,3.92,0,5.88,1.96,0,0,0,9.8,0,0,1.96,3.92,0,1.96,0,0,3.92,0,7.84,0,0,0,0
