stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,2.87,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0,0,2.94,0,1.96,0,0,3.93,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0,0,17.67,0,3.93,0,0.98,7.85,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,3.19,0,1.06,0,0,0,0,0,0,67.97,2.12,2.12,0,1.06,5.31,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,3.28,1.09,1.09,0,1.09,0,266.65,0,3.28,1.09,1.09,20.76,0,1.09,0,0,3.28,1.09,1.09,0,3.28
108-118,0,0,0.77,0.77,1.53,0.77,0,0,0,0.77,0,540,1.53,4.6,0,0.77,23.74,0.77,0,0,0,0.77,0,0,0,0.77
120,0,0,5.88,0,3.92,0,0,0,1.96,1.96,1.96,341,0,3.92,0,0,15.68,0,0,0,0,0,0,0,0,0
