stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,3953.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0
  5-6,67.43,674.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,15.77,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.94,0,0,0,28.32,0,0,6.29,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,8,15,7,0,37,0,0,0,1,2,2,0,5,0,0,9,0,0,4,222,1,0,8,3,0,6,2,12,1,2,47,0,0,0,0
 24-34,0,0,0,2.46,3.28,0.82,0,32.83,0,0,0,2.46,0.82,0,0,15.6,0,1.64,8.21,1.64,0,5.75,128.87,0,0.82,4.1,0,0,3.28,0,0,0,1.64,10.67,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,22.56,0,0,0,0.81,0.81,0,0,0.81,0,0,10.47,0,0.81,0.81,42.7,0.81,0,0,0,0,3.22,0,0,0,0,1.61,0,2.42,0,0
 48-58,0,0,0,0,2.3,0,0,8.03,0,0,1.15,0.57,0.57,0,0,2.3,0,0,6.31,0,0,2.3,9.18,0,0,0.57,0,0,1.15,0,0,0.57,0,1.72,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,3.93,0.98,0,0,1.96,0.98,0,0,1.96,0.98,0,8.83,0,1.96,1.96,3.93,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,1.96,0
 72-82,0,0,0,0,0,0,0,14.72,0,0,0,1.96,0,0,0.98,3.93,0,0.98,13.74,0,0.98,1.96,5.89,0,0,0.98,0,0.98,1.96,0,0,0.98,0,0,6.87,0,0.98,0
 84-94,0,0,0,1.06,0,0,1.06,7.43,0,0,0,4.25,0,0,0,12.74,0,0,3.19,0,3.19,1.06,5.31,0,0,3.19,0,0,3.19,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,1.09,0,34.97,0,1.09,1.09,2.19,0,0,0,16.39,1.09,1.09,10.93,0,1.09,0,9.84,0,0,1.09,0,1.09,2.19,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,0,0,0,3.83,0,0,38.3,0,0,3.06,4.6,0,0,0,9.96,0.77,0,9.96,0,1.53,2.3,14.55,0,0,0,0,0.77,1.53,0,0,0,0,0,6.89,1.53,0.77,0.77
120,0,0,0,0,3.92,0,0,45.08,0,0,0,1.96,0,0,0,1.96,0,1.96,3.92,0,0,3.92,11.76,0,1.96,1.96,0,0,3.92,0,0,0,0,0,1.96,0,0,0
