stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,477,0,12,0,0,0,0,0,0,0,267,0,0,0,0,0
 24-34,0,0,2.46,7.39,0,23.8,0,0.82,0,13.95,0,0,0,0,1.64,0,0,0.82,0.82,2.46,0,0.82,3.28,2080.05,0.82,17.24,0.82,0,0,2.46,0,0,0.82,569.67,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,167.58,0,0.81,0,74.12,0,0,1.61,0.81,0,0,0,0,0.81,8.06,0,0,4.83,4147.59,0.81,14.5,0,0,0,2.42,0,0.81,0,949.88,0,0,0.81,0,0
 48-58,0,0,0,10.9,0.57,446.42,1.15,2.87,0.57,160.09,0.57,0,0,1.72,1.15,0.57,0.57,0,1.15,30.99,0.57,1.72,3.44,4014.34,1.15,8.03,0,0,0,2.3,0,0,0,844.64,0,0,1.72,0,4.59
 60-70,0,0,0,5.89,0.98,791.11,0,2.94,2.94,120.73,0,0,0,2.94,0,1.96,0,0.98,0.98,17.67,0,0.98,1.96,3882.9,0,7.85,2.94,0,0,2.94,0,0,0,620.32,0,0,1.96,0,4.91
 72-82,0,0,2.94,21.6,5.89,1048.41,0,0.98,0.98,146.27,1.96,0,0.98,1.96,0,4.91,0.98,3.93,0,52.03,0,1.96,2.94,3064.75,0,9.82,2.94,0,0.98,4.91,0,0,0,324.93,0.98,0.98,1.96,0,4.91
 84-94,0,0,0,24.43,4.25,733.87,1.06,0,1.06,115.76,1.06,0,3.19,1.06,0,3.19,2.12,0,1.06,39.3,1.06,6.37,4.25,1618.55,1.06,3.19,6.37,0,0,9.56,1.06,0,0,184.79,1.06,1.06,4.25,1.06,4.25
 96-106,0,0,1.09,20.76,3.28,557.35,1.09,2.19,0,92.89,2.19,0,0,1.09,3.28,2.19,1.09,2.19,0,30.6,0,1.09,4.37,1291.74,2.19,6.56,4.37,0,0,7.65,0,2.19,0,64.48,1.09,0,3.28,2.19,3.28
108-118,0,0,1.53,22.98,0.77,398.3,1.53,0,0.77,78.13,0,0,0.77,2.3,1.53,3.83,0,0.77,0.77,16.85,0,3.06,1.53,1541.12,0,9.19,0,0,0.77,1.53,0,0,0,45.96,2.3,1.53,1.53,2.3,0
120,0,0,0,11.76,1.96,276.33,0,0,1.96,107.79,0,0,0,3.92,0,0,1.96,0,0,9.8,0,0,5.88,1340.49,0,7.84,0,0,0,1.96,0,0,0,47.03,0,0,3.92,3.92,0
