stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,58,0,0,6,0,8,0,0,3,0,1,0,1,0,0,0,0,11,3,0,1,22,1,0,6,0,0,416,1,0,2,8,0,0,1,0,0
 24-34,0,0,0.82,18.06,0.82,0,1.64,0,24.63,0.82,1.64,0,0.82,1.64,0,0.82,0,0,0.82,0,27.91,9.03,0,4.93,40.22,0,4.1,6.57,0,0,937.42,0,1.64,1.64,24.63,0,0,1.64,0,2.46
 36-46,0,0,0,3.22,0,0,5.64,0,12.89,0,9.67,0,0,1.61,0.81,1.61,0,0,0,0,25.78,3.22,2.42,2.42,32.23,0.81,4.83,0.81,0,0,676.76,0,0.81,0,12.89,0,0,2.42,0,6.45
 48-58,0,0,0,4.02,0,0,6.89,0,5.16,1.15,14.92,0.57,0,2.3,0,0,0,1.15,0,0.57,39.59,3.44,4.02,4.02,21.23,0.57,2.87,0,0,0,402.24,0,3.44,0,12.05,0,0,0.57,0,10.9
 60-70,0,0,0,0,0,0,19.63,7.85,9.82,1.96,96.19,0.98,0,0,0,0.98,0,0,0.98,0,45.15,0.98,2.94,8.83,19.63,0,0.98,3.93,0,3.93,227.71,0,6.87,0,4.91,0,0.98,0,0,11.78
 72-82,0,0,0,1.96,0.98,0,16.69,16.69,3.93,0.98,157.07,4.91,0,0,0,1.96,0,0.98,0.98,0,36.32,0.98,14.72,9.82,36.32,0,1.96,6.87,0,0,103.07,0,14.72,0,3.93,0.98,0,0.98,5.89,9.82
 84-94,0,0,0,14.87,0,0,26.55,25.49,5.31,2.12,98.77,5.31,0,0,0,5.31,1.06,0,0,0,25.49,0,3.19,5.31,24.43,0,2.12,3.19,0,1.06,223.03,0,50.98,0,6.37,1.06,0,1.06,1.06,5.31
 96-106,0,0,0,13.11,0,0,27.32,32.79,6.56,0,109.28,22.95,0,0,0,2.19,0,3.28,0,0,21.86,0,3.28,3.28,25.14,0,8.74,2.19,0,2.19,104.91,0,46.99,0,1.09,0,0,0,6.56,6.56
108-118,0,0,0,8.43,0.77,3.83,14.55,33.7,7.66,1.53,83.49,48.26,0,0,0,0.77,0.77,1.53,2.3,0,15.32,1.53,4.6,6.13,30.64,0,3.06,4.6,0,3.06,83.49,0,85.79,0,0.77,0,0,0,3.83,6.89
120,0,0,0,1.96,0,0,9.8,19.6,5.88,1.96,48.99,76.43,0,0,0,1.96,0,1.96,0,0,5.88,0,0,1.96,45.08,0,1.96,7.84,0,0,35.28,0,45.08,0,0,0,0,0,1.96,1.96
