stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,329.45,5547.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,140.98,2782.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,30.65,0,36.78,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,21.03,0,0,39.43,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,478.43,13.14,0,0,102.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,3.15,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,276.93,15.73,0,0,59.79,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,7,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,3,56,0,0,0,1,0,3,7,1,5,16,0,0,0,0
 24-34,0,0,0.82,3.28,0.82,7.39,0,0,0,0.82,0.82,0,0.82,0,0,0,0.82,0,0,5.75,0,3.28,60.74,0,0.82,0,0,0,5.75,0,0,0,13.13,0,2.46,0,0
 36-46,0,0,0,2.42,0,13.7,0,0,0,4.03,0.81,0,0,0.81,0,0,0.81,0,0.81,12.09,0.81,1.61,74.12,0,0,0,0,0,3.22,0,0,0.81,16.11,0,0.81,0,0
 48-58,0,0,0,1.15,0,10.9,0,0.57,0,4.59,0,0,1.15,0,0,0,0,0.57,0,8.03,0,0.57,18.36,0.57,0,0,0,0,0,0,0,0,8.03,0,0.57,0,0
 60-70,0,0,0,1.96,0,9.82,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,3.93,0.98,3.93,29.45,0,0,0,0,0,0.98,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,0.98,0,4.91,0,0,0.98,4.91,0.98,0,0,0,0.98,0,0.98,0,0,8.83,0,0.98,7.85,0.98,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,2.12,0,3.19,1.06,0,0,2.12,1.06,0,0,1.06,0,0,0,0,0,3.19,0,2.12,4.25,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,0,2.19,0,2.19,0,2.19,0,0,0,0,0,4.37,0,2.19,0,0,0,3.28,0,1.09,3.28,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,1.53,0.77,0,0,2.3,0,0,0,0,0,1.53,0,1.53,1.53,0,0.77,0.77,0,0.77,2.3,0,0.77,0,0,0,0.77,0,0
120,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
