stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,2,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,1.64,0,0,16.42,0,0,0,0.82,0,1.64,4.1,0,0
 36-46,0,0,0,0,0,9.67,0,0,0,0,0,0,0.81,0,0,20.95,0.81,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0.57,0,5.16,2.3,0,0.57,0,0,0,3.44,0,0,12.62,0,0.57,0.57,0,0,0,2.3,0,0
 60-70,0,0,0,0,0,6.87,0,0,0,0,0,0,1.96,0,0,6.87,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,0,3.93,4.91,0,0,0,0,0,5.89,0.98,0,7.85,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,3.19,0,2.12,0,1.06,0,0,2.12,0,1.06,3.19,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,2.19,1.09,0,4.37,0,0,2.19,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0.77,2.3,1.53,2.3,0,0,0.77,0,0.77,3.06,0,0.77,4.6,0,0,0,0,0,0,0,0,0.77
120,0,0,0,3.92,1.96,0,0,1.96,0,0,0,0,1.96,0,0,3.92,0,1.96,3.92,0,0,0,0,0,1.96
