stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,42.91,588.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,5.26,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,170.87,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,157.35,6.29,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,1,6,1,0,6,69,1,0,0,2,0,2,14,1,0,7,18,0,1,0,0
 24-34,0,0,0,0,4.93,0,7.39,0.82,0,0.82,0,0,0,0,0,0.82,0,0.82,9.85,0,0,10.67,84.55,0.82,0,2.46,0,0,6.57,0,0,0.82,3.28,21.34,0,2.46,0,0
 36-46,0,0,0,0,0,0,16.11,0,0.81,4.03,0,0,0.81,0,0,0,0,0.81,7.25,0,0,2.42,58.01,0.81,1.61,0,0,0,4.83,0,0,0,0,21.75,0,3.22,0,0.81
 48-58,0,0,0,0,2.3,0,22.38,0,1.15,7.46,0,0,0.57,0,0,0,0,0,9.18,0,0,0,39.59,0,0,0,0,0,2.3,0,0,0,0,14.35,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,15.7,0,0.98,8.83,0.98,0,0,0.98,0.98,0.98,0,0,5.89,0,0,0,37.3,0,0,0,0,0,0.98,0,0,0,0,3.93,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,16.69,0,0.98,8.83,0,0,0,0,0.98,0,0,0,16.69,0,0,3.93,33.38,0,0.98,2.94,0,0,0.98,0,0,0,0,3.93,0,1.96,0.98,0
 84-94,0,0,0,0,0,0,3.19,1.06,0,1.06,0,0,1.06,0,1.06,0,0,0,5.31,0,1.06,0,14.87,0,0,0,0,0,3.19,0,0,0,0,2.12,1.06,2.12,0,0
 96-106,0,0,0,0,0,0,6.56,0,0,4.37,0,0,2.19,1.09,0,0,1.09,0,8.74,0,0,1.09,14.21,1.09,0,0,0,0,3.28,0,0,0,0,0,0,3.28,0,0
108-118,0,0,0,0,3.06,0.77,3.83,0.77,0,3.83,0.77,0,0,0,0,0,0,0,0.77,0,0,2.3,22.21,0,0,0.77,0,0.77,2.3,0,0.77,0,0,0,0.77,0,0,0.77
120,0,0,1.96,0,1.96,0,3.92,1.96,1.96,1.96,1.96,0,0,0,0,0,0,0,7.84,0,0,0,9.8,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
