stage,endoderm,epidermis,eye,glial,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0.82,3.28,0,0,0,0,1.64,0
 36-46,0,0,2.42,1.61,0,0,0,0,0,0.81,2.42,0,0,0,0,1.61,0
 48-58,0,0,0.57,0,0,0,0,0,0.57,0,2.87,0,0,0,0,1.15,0
 60-70,0,0.98,6.87,1.96,0,0,0,0,0,0.98,2.94,0,0,0,0,1.96,0
 72-82,0,0,1.96,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,1.06,2.12,0,2.12,0,1.06,0,1.06,0,4.25,0,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,2.19,0,0,0,0,1.09,0,1.09,1.09
108-118,0,0,2.3,0.77,0,0.77,0,0,3.06,0,1.53,0,0,0,0,0,0.77
120,0,0,3.92,1.96,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0
