stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,2609.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,214.54,2641.87,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,42.06,34.17,92,0,0,0,128.81,0,0,28.92,0,0,0,0,0,0,0,0,0,1238.12,31.54,0,0,525.74,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,50.35,0,6.29,0,72.38,0,0,9.44,0,0,0,0,0,0,0,0,0,664.01,12.59,0,0,286.37,0,0,0,6.29,28.32,0,3.15,0,0,0,0,0
 14-21,1,0,4,12,4,0,4,2,0,0,0,0,1,0,0,1,11,0,11,165,1,1,1,3,0,7,0,15,0,6,55,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,51.71,9.03,0,0,0,0,0,0.82,0.82,0.82,25.45,0,13.13,341.48,0.82,2.46,0.82,0,0,7.39,0,0,0,0.82,87.83,0,0,6.57,0,0
 36-46,0,0,0,3.22,1.61,0,137.77,10.47,0.81,0,0,2.42,0,0.81,1.61,0.81,38.67,0,11.28,290.04,0.81,2.42,0.81,0,0,3.22,0,0,0,0,81.37,0,0,6.45,0,0.81
 48-58,0,0,0,2.87,0.57,0,179.6,8.03,0.57,0,1.15,0.57,0,0,0.57,0.57,42.46,1.72,5.16,135.42,1.15,0,1.15,0,0,1.72,0,0,0,0,24.67,0,0,4.02,0,0
 60-70,0,0,0,6.87,0,0,104.04,10.8,0,0,0,0.98,0,1.96,1.96,0,24.54,1.96,1.96,77.54,0,0,0.98,0,1.96,0,0,0,0.98,0,2.94,0,0.98,4.91,0,1.96
 72-82,0,0,0,8.83,0,0,44.17,10.8,0,0,0.98,1.96,0,0,0.98,0,28.47,0.98,0,46.14,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,3.93,0,0
 84-94,0,0,1.06,5.31,1.06,0,30.8,5.31,2.12,0,0,2.12,0,0,0,0,25.49,3.19,6.37,33.99,1.06,0,1.06,0,0,2.12,0,0,0,0,1.06,0,0,5.31,0,0
 96-106,0,0,0,4.37,1.09,2.19,29.51,5.46,2.19,0,0,2.19,0,0,0,0,13.11,0,4.37,30.6,0,1.09,5.46,0,0,1.09,0,0,0,0,0,1.09,0,6.56,1.09,0
108-118,0,0,0,3.83,2.3,0,22.98,6.13,0.77,0,0,2.3,0.77,1.53,0.77,1.53,7.66,0.77,3.83,38.3,1.53,0.77,0.77,0,0,3.06,0,0,1.53,0,0,0.77,0,1.53,0,0
120,0,0,0,3.92,3.92,0,23.52,7.84,0,0,0,3.92,1.96,3.92,0,1.96,9.8,0,1.96,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
