stage,epidermis,eye,glial,immune,iridophores,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0.82,0,0,6.57,0.82,0,0.82,1.64,0,0,0
 36-46,0.81,0,1.61,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,1.72,0,0,0,0,0,0,3.44,0,0,0,1.15,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,1.96,0.98,0,0.98,0,0,0.98,3.93,0,0,0.98,0,0.98,0.98,0
 84-94,1.06,1.06,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,3.28,0,1.09,0,0,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0.77,0,0,0.77,0,0,0,1.53,0.77,0,0,0,0,0,0
