stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.01,7.89,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,151.05,6.29,0,0,34.62,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,15,1,4,0,0,1,0,0,1,0,0,0,0,0,7,0,0,7,133,6,1,2,4,0,10,0,1,9,39,0,0,1,0,0
 24-34,0,0.82,0,1.64,0.82,13.95,0.82,0,0,0,0,0,0,2.46,0.82,0,0,20.52,0.82,0,4.93,105.89,0,0.82,3.28,0,1.64,0,0.82,0,0.82,27.91,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0.81,22.56,0,0.81,4.83,0,0,0,1.61,0,0.81,0,0,6.45,0,0,2.42,54.79,0,0,0.81,0,0.81,0,0,0,0,15.31,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,0,18.94,0.57,0,8.03,0,0,0,0,0,0,0.57,0.57,11.48,0,0,0,31.56,0,0,0,0,5.74,0,0,0.57,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,9.82,0,0,4.91,0.98,0,0,0,0,0.98,0,0,10.8,0.98,0,0.98,11.78,0,0,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,2.94,11.78,0.98,0,0,0,0,0,0.98,0,21.6,0.98,0.98,1.96,17.67,0,0.98,0.98,0,0.98,0,0,0,0,1.96,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,1.06,0,9.56,0,0,4.25,0,0,0,0,0,0,0,0,15.93,0,1.06,5.31,5.31,0,0,2.12,0,3.19,0,0,0,0,2.12,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,4.37,1.09,0,3.28,0,0,0,0,0,0,0,0,8.74,0,0,1.09,6.56,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0,6.89,0.77,0.77,5.36,1.53,0,0.77,0.77,0,0.77,0,0.77,8.43,0,1.53,2.3,11.49,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,0,5.88,0,0,0,0,7.84,1.96,0,1.96,0,0,0,0,0,3.92,0,0,0,3.92,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
