stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,25,0,0,0,0,0,0,0,16,0,0,1,0,0
 24-34,0,0.82,0,0.82,0,5.75,0.82,0,1.64,0,0,0,0,0,0,0,0.82,3.28,88.65,0.82,0.82,0,0,0.82,0,0.82,22.98,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,8.86,0,0,2.42,0,0,0,0,0,0,0,4.03,0.81,160.33,0.81,0,0,0,0.81,0,0,39.48,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,32.13,0,0.57,6.31,0,0,1.15,0,0,0,0.57,2.87,1.72,166.98,0,0,0,0,2.3,0,0,29.84,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,0,98.15,0,0,13.74,0,0.98,0,0,0,0,1.96,7.85,0.98,203.18,0.98,0,0,0,2.94,0,0,27.48,0,0,0.98,0,0
 72-82,0,1.96,0,0.98,0,98.17,0,0,13.74,0.98,0,0,0,0.98,0.98,0,14.72,0,151.18,0,0,0,0,0,0,0,9.82,0,0.98,0.98,0,0
 84-94,0,1.06,0,2.12,0,69.03,1.06,0,14.87,1.06,0,0,1.06,1.06,0,2.12,9.56,1.06,99.83,1.06,1.06,0,0,3.19,0,0,1.06,0,1.06,4.25,0,1.06
 96-106,0,0,0,5.46,0,60.11,0,0,7.65,0,0,1.09,0,1.09,2.19,1.09,6.56,1.09,71.04,0,2.19,0,1.09,0,0,0,1.09,1.09,1.09,0,1.09,0
108-118,0,0,0,3.06,0.77,39.06,0,0,8.43,0,0,0,0.77,0.77,0.77,0,9.96,0.77,87.32,1.53,0.77,0,0,1.53,0.77,0,0.77,0.77,0.77,1.53,0,0
120,0,0,0,1.96,0,19.6,0,3.92,3.92,0,0,0,0,0,3.92,0,7.84,1.96,97.99,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96,0
