stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,30.65,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,9.44,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,2,0,0,0,6,1,0,2,8,0,0,1,0,0
 24-34,0,0,0,0,3.28,2.46,0,4.93,0,0,0,1.64,0.82,0,2.46,0.82,5.75,0,0,0,3.28,3.28,0.82,0,0.82,57.46,0,2.46,0,0,0,21.34,1.64,0,0,13.95,0,0,3.28,0,2.46
 36-46,0,0,0,0,1.61,0,0,8.06,0.81,0.81,0.81,7.25,0.81,0,0.81,0,1.61,0,0,0,5.64,8.06,0,0,0.81,92.65,0.81,4.83,1.61,0,0,22.56,1.61,0,0,21.75,0,0,3.22,0,1.61
 48-58,0,0,0,0,3.44,0.57,0,17.21,1.15,1.15,0,10.33,0,0,0.57,1.15,3.44,0,0.57,0.57,4.59,11.48,1.15,0,2.87,60.82,0.57,2.3,0.57,0,0.57,18.36,1.15,0,0,16.64,0,0,2.3,0,5.16
 60-70,0,0,0,0,5.89,0.98,0,44.17,0.98,0.98,0.98,19.63,1.96,0,0.98,1.96,0.98,2.94,0,0,3.93,20.61,0.98,0,0.98,78.52,0,2.94,0.98,0,0.98,36.32,1.96,0,0,15.7,0,0,0.98,0,9.82
 72-82,0,0,0.98,0.98,9.82,7.85,0,55.95,1.96,1.96,3.93,40.25,5.89,0,0,4.91,0,0.98,2.94,0.98,1.96,71.66,6.87,1.96,3.93,73.62,1.96,3.93,5.89,0,0,25.52,1.96,0,0,9.82,1.96,0,5.89,1.96,3.93
 84-94,0,0,0,0,23.36,4.25,1.06,38.23,0,4.25,0,24.43,16.99,1.06,1.06,7.43,3.19,5.31,2.12,2.12,7.43,30.8,1.06,1.06,2.12,35.05,0,0,7.43,0,0,83.9,5.31,0,0,5.31,4.25,2.12,5.31,2.12,4.25
 96-106,0,0,2.19,0,22.95,4.37,1.09,45.9,1.09,2.19,2.19,26.23,12.02,0,1.09,12.02,6.56,4.37,3.28,1.09,3.28,32.79,3.28,2.19,0,52.46,0,10.93,7.65,0,3.28,76.5,3.28,0,0,6.56,0,0,7.65,4.37,6.56
108-118,0,0,3.06,0.77,20.68,0.77,3.06,26.81,1.53,6.89,0.77,28.34,15.32,0,0,5.36,3.83,13.79,3.06,4.6,4.6,26.81,3.06,0,2.3,45.96,1.53,6.89,7.66,0,0.77,52.09,2.3,0.77,0,6.89,5.36,0,3.06,0.77,1.53
120,0,0,1.96,0,29.4,0,0,33.32,0,1.96,0,19.6,11.76,0,0,13.72,7.84,5.88,3.92,1.96,5.88,23.52,3.92,0,1.96,66.63,1.96,3.92,9.8,0,0,58.79,5.88,0,0,3.92,3.92,0,5.88,0,1.96
