stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,15.7,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0.98,1.96,1.96,0,11.78,0,0.98,0,5.89,121.73,0,0,0,0.98,0,0.98,0,9.82,0,0,54.97,0,1.96,0,0.98,3.93,0.98,0.98,0,3.93,0,0
 84-94,3.19,3.19,1.06,0,13.81,0,0,0,1.06,243.21,0,1.06,1.06,0,0,1.06,1.06,4.25,0,0,25.49,0,0,0,0,2.12,0,0,1.06,1.06,0,1.06
 96-106,6.56,4.37,2.19,0,22.95,1.09,2.19,2.19,3.28,387.96,0,5.46,2.19,2.19,0,5.46,0,15.3,3.28,5.46,87.43,1.09,1.09,5.46,0,17.49,0,6.56,0,3.28,0,1.09
108-118,1.53,3.83,1.53,3.06,16.09,0.77,0.77,0.77,4.6,453.45,0.77,2.3,0.77,0.77,0.77,3.06,0.77,9.96,0.77,0.77,85.79,0.77,2.3,1.53,3.06,5.36,0,0,0.77,1.53,0.77,0.77
120,0,1.96,5.88,0,9.8,0,0,0,7.84,342.96,0,1.96,0,0,0,3.92,0,7.84,0,3.92,78.39,0,1.96,0,0,3.92,0,1.96,0,1.96,0,0
