stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,1,0,0,0,0,0,1,3,0,180,548,33,0,0,0,0
 24-34,0,1.64,3.28,0,1.64,60.74,0,0,2.46,0,0,0,0,0,0.82,0.82,8.21,0,0,30.37,233.94,0,4.1,1.64,0,0,2.46,0,0.82,0.82,78.8,263.49,87.01,0,0,0,0
 36-46,0,2.42,1.61,0,11.28,93.46,0,0,3.22,0,0.81,0,0,0.81,0,1.61,4.83,0,0,24.17,403.64,0.81,5.64,0.81,0,0,0.81,0,0,0,33.84,12.09,105.54,0,1.61,0,0
 48-58,0,0,1.72,1.15,48.2,78.04,0,0,7.46,0,0.57,0.57,0,0,0,0.57,11.48,0,0,22.95,541.67,0,2.87,0,0,0,2.3,0,0,0,32.13,0,75.17,0,2.3,0,1.15
 60-70,0,0,0.98,0,188.45,66.74,0,0,9.82,0,0,0,0,0,0,0,9.82,0,0,24.54,964.84,0,2.94,0.98,0,0,3.93,0,0,0,17.67,0,82.45,0,0,0.98,0
 72-82,0,2.94,4.91,1.96,281.74,40.25,0,2.94,13.74,0.98,0,0,0,0,0.98,0,18.65,0,0,14.72,844.23,0,3.93,0.98,0.98,0,1.96,0,0,0,10.8,0,57.92,0,3.93,1.96,0
 84-94,0,1.06,10.62,2.12,207.1,30.8,0,1.06,23.36,2.12,2.12,1.06,1.06,0,0,0,5.31,0,1.06,16.99,456.68,1.06,1.06,0,0,0,4.25,0,0,0,18.05,0,24.43,0,1.06,2.12,0
 96-106,0,4.37,4.37,3.28,151.91,39.34,0,1.09,15.3,3.28,1.09,0,0,0,1.09,0,10.93,0,0,12.02,339.88,0,5.46,4.37,0,0,9.84,0,0,0,17.49,0,9.84,0,2.19,1.09,0
108-118,0,1.53,8.43,3.83,122.55,39.83,0.77,0,19.15,0.77,0,0,0.77,0,0.77,0,11.49,0,0,11.49,340.09,0,3.83,0.77,0,0.77,1.53,0,0,0,18.38,0,9.19,0.77,1.53,0.77,0
120,0,1.96,7.84,9.8,125.43,47.03,0,0,21.56,0,0,0,0,0,1.96,0,9.8,1.96,1.96,25.48,386.08,0,1.96,0,0,0,0,0,0,0,5.88,0,19.6,0,0,0,0
