stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,hatching.gland,ionocyte,liver,neural,notochord,paraxial.mesoderm,vascular.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,0.77,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0
