stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,2.63,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,74,0,0,0,0,16,0,1,4,0,0,0,13,1,0,1,3,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,7.39,0,0,0,0,0.82,0,0,0,168.28,0,0,0.82,2.46,32.01,0,0.82,16.42,11.49,0,0,27.09,0,0.82,0,6.57,0,0,0,0,0
 36-46,0,0,0,8.86,0,0,29,0.81,2.42,0,0.81,0,0,0,0.81,69.29,0,0,0,0,15.31,0,0,20.95,11.28,0,0,30.62,0,0.81,0,5.64,0,0,0,0,0
 48-58,0,0,0,14.35,0,0,31.56,0,1.72,0,4.59,0,0.57,0,10.33,37.87,0,1.15,0,1.15,9.75,0,1.15,26.4,10.33,0,0,54.51,0,0.57,0,5.74,0,0,1.72,0,0.57
 60-70,0,0,0,37.3,0,0,59.87,0,4.91,0,43.19,0,0,0.98,14.72,47.11,0,1.96,0,5.89,6.87,0,0,27.48,15.7,0.98,0,211.03,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,62.83,0.98,0,61.84,0,3.93,0,73.62,3.93,0,0.98,23.56,101.11,0,4.91,0,6.87,7.85,0.98,0,74.61,24.54,0.98,0,340.64,0,0,0,3.93,3.93,0,0.98,1.96,0.98
 84-94,0,0,0,129.57,3.19,0,32.92,0,13.81,0,48.85,2.12,0,0,31.86,189.04,0,12.74,0,4.25,16.99,0,0,43.54,89.21,1.06,0,936.72,0,1.06,0,2.12,28.68,1.06,1.06,0,0
 96-106,0,1.09,0,206.55,4.37,0,37.16,1.09,13.11,0,49.18,14.21,0,1.09,39.34,224.03,0,24.04,3.28,14.21,20.76,0,0,69.94,123.49,0,0,1034.93,0,0,0,1.09,45.9,1.09,6.56,0,0
108-118,0,0,0,131.75,1.53,1.53,31.4,0,22.98,0.77,41.36,7.66,0,1.53,33.7,206.81,0.77,16.09,3.83,8.43,26.81,3.83,0.77,62.81,76.6,1.53,0,878.56,0,0,0,0.77,45.19,0,1.53,0.77,0
120,0,0,0,113.67,0,0,31.36,0,17.64,0,35.28,9.8,0,0,29.4,103.87,0,13.72,1.96,5.88,19.6,0,3.92,64.67,39.2,0,0,642.81,0,0,0,0,17.64,0,1.96,0,1.96
