stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,66,0,2,0,0,0,0,0,40,0,0,0,0
 24-34,0,0,0.82,0,0,6.57,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,624.67,1.64,9.85,0.82,0,0,0,0.82,167.45,0,0,0,0
 36-46,0,0,1.61,0,0,59.62,0,0,0,15.31,0,0,0,0,0,0,0,0,2.42,0,0,0,2082.66,0,22.56,0,0.81,0,0,0,348.05,0,0,0,0
 48-58,0.57,0,5.16,0,0,212.88,0.57,0.57,0.57,44.18,0,0,0,0,0.57,0,0,1.15,16.07,0,0,0.57,2334.81,0.57,9.75,0.57,1.72,0.57,0.57,0,366.09,0,0,0,0.57
 60-70,0,0,0.98,0.98,0,447.57,0,0,0,65.76,0.98,0,0.98,0,1.96,0.98,0,0,17.67,0,0,2.94,3236.08,0,13.74,0.98,2.94,0,0,0,416.17,0.98,0.98,0.98,0.98
 72-82,0,0,5.89,0.98,0,477.09,0,0.98,5.89,79.51,0,1.96,0,0,0.98,0,0,0,38.28,0,0.98,0.98,2248.99,0,24.54,0,0.98,0,0,0,224.8,0.98,1.96,0,0.98
 84-94,0,1.06,11.68,2.12,0,367.46,1.06,0,0,72.22,1.06,3.19,0,0,2.12,0,0,0,32.92,0,2.12,2.12,1189.48,0,18.05,0,1.06,0,0,0,142.31,0,1.06,3.19,2.12
 96-106,0,0,16.39,2.19,1.09,272.12,1.09,1.09,2.19,56.83,1.09,1.09,1.09,1.09,0,0,2.19,0,14.21,0,1.09,1.09,928.92,0,33.88,3.28,2.19,0,0,0,49.18,0,1.09,3.28,1.09
108-118,0,0,10.72,1.53,0,214.47,0,0,1.53,51.32,0.77,0,0.77,0,0.77,0,0.77,0.77,13.02,0,0,3.06,1072.35,0,16.85,0,0.77,0,0,0,33.7,0,2.3,1.53,0.77
120,0,0,15.68,1.96,1.96,172.46,0,1.96,0,52.91,1.96,0,1.96,1.96,0,0,0,0,7.84,1.96,0,3.92,952.46,1.96,9.8,1.96,1.96,1.96,0,0,19.6,0,1.96,0,0
