stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,117,16,0,5,0,0,0,2,15,0,1,0,0,0,1,0,39,1,0,37,106,0,0,0,4,0,0,1,0,0,4,8,0,9,0,0
 24-34,0.82,0,0,0,67.31,0.82,0,6.57,0,18.06,10.67,6.57,2.46,0,13.13,0,2.46,0,0.82,0,159.25,0.82,0.82,34.48,49.25,0.82,0.82,0.82,0,1.64,1.64,0,2.46,1.64,0.82,18.06,0,37.76,0,0
 36-46,0,0,0,0,24.98,0.81,0,6.45,0,41.09,16.92,13.7,3.22,0,16.11,1.61,0,0.81,0.81,0.81,262.65,0.81,6.45,45.92,50.76,0.81,2.42,0.81,0,1.61,0.81,0,0.81,1.61,0,10.47,0.81,43.51,0,0
 48-58,0,0,0,0.57,17.79,0,0,14.92,0,44.18,19.51,2.3,1.15,0.57,17.21,0.57,0,0,0,1.72,297.23,0,8.03,28.69,41.89,0.57,1.72,0.57,0,0,0,0,1.15,0,0,6.89,0.57,57.38,1.72,0
 60-70,0,0,0,0,5.89,0.98,0,6.87,0.98,45.15,29.45,8.83,0.98,0,12.76,0,0,0.98,0,4.91,264.03,0,1.96,12.76,22.58,0.98,2.94,0,0,4.91,2.94,0,2.94,0,0,5.89,2.94,50.06,0,0
 72-82,0,0,0,0,19.63,0,0,13.74,0,18.65,52.03,12.76,4.91,0,9.82,0,0,0.98,0,4.91,347.51,0,11.78,34.36,26.5,1.96,10.8,0.98,0,5.89,1.96,0,7.85,0.98,0,5.89,4.91,109.95,6.87,0.98
 84-94,0,0,0,0,33.99,1.06,0,29.74,0,77.53,38.23,9.56,5.31,0,11.68,0,0,3.19,0,13.81,253.83,0,11.68,13.81,15.93,2.12,29.74,0,0,5.31,2.12,0,9.56,0,0,4.25,6.37,97.71,3.19,0
 96-106,0,0,1.09,0,71.04,1.09,2.19,26.23,1.09,68.85,44.81,13.11,12.02,0,20.76,1.09,3.28,6.56,1.09,3.28,348.62,1.09,17.49,28.41,44.81,1.09,54.64,6.56,0,19.67,7.65,0,12.02,0,0,1.09,10.93,150.81,9.84,0
108-118,0,0,0,1.53,52.85,0.77,0.77,17.62,0,75.06,47.49,20.68,7.66,0,9.19,2.3,2.3,7.66,0.77,26.04,357.7,3.06,8.43,18.38,37.53,0.77,33.7,9.96,0,9.96,2.3,0,9.19,0,0,2.3,9.96,136.34,6.13,0.77
120,0,0,0,0,56.83,0,0,9.8,0,74.47,52.91,1.96,1.96,0,9.8,0,3.92,3.92,1.96,15.68,264.57,0,9.8,17.64,31.36,0,29.4,5.88,0,11.76,7.84,0,1.96,0,0,0,7.84,123.47,0,0
