stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,78.86,0,0,28.92,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,18.4,173.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,229.73,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,327.28,0,0,44.06,0,0,245.46,0,0,0,0,0,0,0
 14-21,0,0,10,57,15,90,0,1,0,0,0,24,1,0,0,1,0,10,0,0,3,21,165,0,0,38,0,1,15,0,5,174,0,0,1,0
 24-34,0,0,9.03,4.1,1.64,4.1,0,2.46,0,0,3.28,0,0,0,0,0.82,0,1.64,0.82,0,0,20.52,80.44,2.46,0.82,0,0,0,0,0,0.82,178.95,0,0,0.82,0.82
 36-46,0.81,0,4.03,0,0,0,0,5.64,0,0,7.25,0,0,0,0.81,0,0.81,4.03,0,0,1.61,20.14,85.4,0,0,0,0.81,0,0,2.42,0,204.64,0,0,0,0
 48-58,0.57,0,5.16,2.87,0,0,0,14.35,0,1.15,17.79,3.44,0,0,0,0,0,4.02,0.57,0.57,0.57,28.69,71.15,0,0,0,0,0,0,0,0,214.03,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,10.8,0,0,9.82,17.67,0,0.98,0,0,0,1.96,0,0,0,18.65,30.43,0,0,0,0.98,0,0,0,0,145.27,0,0,0.98,0
 72-82,0,0,3.93,0,0,1.96,0,8.83,0,0,6.87,20.61,0,0,0,0,0,2.94,0.98,0,0,15.71,26.5,0,0,0,0.98,0,0,0,0,128.6,0,0,0.98,0
 84-94,0,0,5.31,0,1.06,0,0,8.5,0,0,6.37,43.54,0,0,0,0,0,5.31,0,0,1.06,9.56,41.42,0,0,0,1.06,0,0,0,0,84.96,0,1.06,0,0
 96-106,0,0,6.56,0,2.19,0,0,2.19,1.09,0,4.37,43.71,0,0,0,0,0,3.28,0,0,0,4.37,29.51,0,0,0,0,0,0,0,0,48.09,0,0,0,0
108-118,0,0,4.6,0,1.53,0,0.77,3.06,0,1.53,1.53,31.4,0,0,0,0,0,2.3,0,0,1.53,6.89,29.87,0.77,0,0,0,0,0,0,0,29.87,0.77,0.77,0,0
120,0,0,1.96,0,0,0,0,1.96,0,0,1.96,15.68,0,0,0,0,0,3.92,0,0,0,3.92,35.28,0,0,0,0,0,0,0,0,25.48,0,1.96,0,0
