stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,69,0,1,2,0,0,0,11,1,37,0,1,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0.82,0,1.64,0,0,0,0,0,0,0,0,1.64,0,0,123.95,0.82,0,0,0,1.64,0,0,0,65.67,0,0,0,0
 36-46,0,0,0,0,0,0.81,7.25,0.81,0,0.81,7.25,0,0,0,0,0,0,0,0,5.64,0,0,443.92,0.81,0,0,0,0.81,0,0,0,149.05,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,14.35,0,0,1.15,7.46,0,0,0,0,0,0.57,0,1.15,5.16,0,0,265.1,0,0,0,0,0.57,0,0,0,72.3,0,0.57,0,1.15
 60-70,0,0,0.98,0,1.96,0,21.59,0,0,0.98,22.58,0,0,0,0,0.98,0,0,0,10.8,0,0.98,746.94,0,0.98,0.98,0,0,0,0,0,130.54,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0.98,47.12,0,0,1.96,12.76,0,0,0,0,0,0.98,0.98,0,11.78,1.96,0.98,430.95,0,0,3.93,0,0,0,0,0,49.08,0,0,0,0.98
 84-94,0,0,0,0,2.12,1.06,43.54,1.06,0,1.06,9.56,1.06,0,1.06,0,0,1.06,0,1.06,5.31,0,0,234.71,0,0,0,0,1.06,0,0,0,18.05,0,0,0,0
 96-106,0,0,0,0,3.28,0,40.44,0,0,1.09,13.11,0,0,0,1.09,0,0,1.09,0,0,2.19,1.09,242.61,0,1.09,4.37,0,1.09,0,0,0,7.65,1.09,1.09,0,1.09
108-118,0,0,0,0,0,0,52.85,0,0,0.77,12.26,0.77,0,0,0,0,0,0.77,0,6.13,0,1.53,284.17,0,0,5.36,0,2.3,0,0,0,8.43,0,0,0,0.77
120,1.96,0,0,0,9.8,3.92,54.87,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,1.96,354.72,0,0,5.88,0,1.96,0,0,0,17.64,0,0,1.96,0
