stage,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,melanocytes,mesenchyme,neural,olfactory,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1,1,1,0
 24-34,0,0,0,0,0,0,0,0,8.21,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,4.83,0,3.22,0
 48-58,0,0,0.57,0,0,0.57,0,0.57,3.44,0,2.87,0
 60-70,0,0,0.98,0,1.96,0.98,0,0.98,10.8,0,1.96,0
 72-82,0.98,0.98,2.94,0,0,0,0,1.96,14.72,0,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,4.25,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,4.37,1.09,0,0
108-118,0,0,0,0,0,0,0,0,4.6,0,0,0
120,0,0,0,1.96,1.96,0,0,1.96,1.96,0,0,0
