stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0.82,0,0,3.28,1.64,0,0,0,0,3.28,0,0,4.1,0,0,0,0,0,62.39,0,0.82,0.82,0,1.64,0,0,5.75,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,4.83,2.42,0,0.81,0.81,0.81,4.03,0.81,0,5.64,0,0,0,0,0,49.95,0,0,0,0,2.42,0,0,11.28,0,0
 48-58,0,0,0,0,3.44,0,0,0.57,0,0,0,0,0.57,0,0,6.89,0.57,0,0.57,1.15,1.72,2.3,0.57,0,5.74,0,0,0,0,1.15,38.44,0,0,0,0,0,0,0,12.62,0,0
 60-70,0,0,0,0,5.89,0,0,3.93,0,0.98,0,0,5.89,0.98,0,12.76,4.91,0,0,2.94,3.93,4.91,0.98,0.98,3.93,0,0,0,0,0,39.26,0,0,0,0,0,0,1.96,8.83,0,0
 72-82,0,0,2.94,0,12.76,0,0.98,0.98,0,1.96,0,2.94,43.19,0,0,18.65,12.76,0,0,2.94,1.96,4.91,2.94,0.98,21.6,0.98,0,0,0,0.98,51.05,0,0.98,0,0,0.98,0,0,25.52,0.98,0.98
 84-94,0,0,1.06,0,38.23,0,0,1.06,0,2.12,0,0,75.4,0,0,26.55,14.87,0,0,5.31,11.68,6.37,0,1.06,5.31,0,1.06,0,0,0,149.75,0,1.06,0,0,0,4.25,0,21.24,0,0
 96-106,0,0,4.37,0,63.39,1.09,0,9.84,0,5.46,1.09,5.46,167.21,0,0,38.25,18.58,1.09,2.19,7.65,10.93,7.65,0,2.19,29.51,0,0,0,0,4.37,190.16,0,0,0,0,2.19,9.84,1.09,24.04,1.09,1.09
108-118,0,0,1.53,0,89.62,0.77,0.77,6.13,0.77,14.55,0,0.77,261.19,0,0.77,27.57,14.55,0.77,0,19.15,9.19,6.89,0.77,1.53,29.87,0,0,0,0,0,134.04,0,1.53,0,0,0.77,13.02,0,21.45,0,0.77
120,0,0,5.88,0,72.51,0,0,0,0,11.76,0,0,180.3,0,0,45.08,13.72,1.96,1.96,15.68,11.76,1.96,0,1.96,35.28,0,1.96,1.96,0,0,115.63,0,3.92,0,0,0,5.88,0,7.84,0,0
