stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vasculature
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,104.2,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,2.63,0,0,0,0,26.29,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,31.47,0,0,0,15.73,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0,10.67,0,0,0,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,1.15,0,0.57,0,1.15,5.74,0,0,0.57,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,3.93,0,2.94,0,1.96,4.91,0,0.98,2.94,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,1.06,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,3.28,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,1.53,0,0,0,0,0.77,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
