stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1541.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,65.72,7.89,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,236.02,3.15,0,0,100.7,0,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,2,22,19,4,0,0,0,1,3,0,1,0,2,0,0,0,2,14,0,0,7,113,7,2,1,1,0,10,0,10,1,4,15,42,0,0,4,0,1
 24-34,0,0,1.64,0,6.57,2.46,23.8,0,2.46,0.82,4.1,0.82,0,1.64,1.64,8.21,0.82,0,0.82,2.46,29.55,0,0,11.49,366.92,0.82,8.21,0.82,0,0,35.3,0,0,1.64,1.64,2.46,91.12,0,0,18.06,0,3.28
 36-46,0,0,0,0,4.83,0,70.9,1.61,0.81,0,24.17,0,0,2.42,1.61,3.22,0.81,1.61,0.81,4.03,36.26,1.61,0,8.06,729.94,4.03,8.06,0.81,0,0,24.98,0,0,2.42,0.81,0.81,162.75,0,0,22.56,0,1.61
 48-58,0,0,0,0,5.16,0,131.98,1.15,1.15,1.15,47.05,0,0,0.57,2.87,1.15,0.57,0.57,0,3.44,51.07,0,2.87,8.61,658.73,14.35,5.16,2.3,0,0,16.64,0,0,0,1.15,0,122.79,0,0.57,13.77,0,5.74
 60-70,0.98,0,0,0,3.93,1.96,394.57,0.98,0,3.93,80.48,1.96,0,1.96,4.91,0,6.87,1.96,0,1.96,91.28,0.98,1.96,7.85,1003.12,25.52,5.89,3.93,0,0.98,13.74,0,0,0,0.98,0,107.97,0,0.98,8.83,0,1.96
 72-82,0,0,2.94,0,8.83,5.89,380.88,1.96,0,3.93,81.48,7.85,0,1.96,7.85,0,1.96,1.96,0,2.94,87.37,0.98,2.94,7.85,709.74,22.58,10.8,5.89,0,0.98,10.8,0,0,0,0,0,58.9,0,4.91,27.49,2.94,3.93
 84-94,0,0,0,0,11.68,5.31,284.63,2.12,2.12,3.19,52.04,7.43,0,0,13.81,8.5,6.37,7.43,1.06,4.25,56.29,1.06,7.43,5.31,384.46,40.36,7.43,8.5,0,0,36.11,0,0,4.25,1.06,0,37.17,2.12,3.19,15.93,4.25,3.19
 96-106,0,0,0,0,10.93,6.56,183.6,1.09,2.19,0,46.99,4.37,0,3.28,12.02,2.19,4.37,7.65,0,2.19,41.53,1.09,2.19,4.37,283.05,21.86,6.56,15.3,0,0,27.32,0,0,1.09,0,0,8.74,3.28,3.28,19.67,3.28,4.37
108-118,0,0,0,0,11.49,3.06,109.53,3.06,1.53,1.53,20.68,2.3,0,1.53,8.43,3.83,6.89,2.3,1.53,0.77,26.04,0,1.53,3.06,312.51,33.7,3.06,5.36,0,0.77,21.45,0,0,2.3,1.53,0,7.66,0.77,2.3,13.02,0,3.83
120,0,0,3.92,0,5.88,15.68,105.83,0,1.96,0,21.56,7.84,0,0,15.68,3.92,3.92,1.96,1.96,3.92,41.16,1.96,0,1.96,311.61,62.71,5.88,17.64,0,0,23.52,0,0,1.96,0,0,17.64,0,1.96,7.84,1.96,0
