stage,blastomeres,epidermis,eye,glial,gut,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle
  3-4,26.36,0,0,0,0,0,0,0,13.18,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,1.61,0,1.61
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,2.94
 72-82,0,0,0,0,0,0,0.98,0,0,0,3.93
 84-94,0,0,0,0,0,1.06,0,0,2.12,0,4.25
 96-106,0,0,0,0,9.84,0,2.19,0,0,1.09,4.37
108-118,0,0,0.77,0,29.87,0.77,3.06,0,0,0,1.53
120,0,0,0,0,39.2,0,0,0,0,0,0
