stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,6.57,1.64,0,1.64,0,2.46,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,1.61,0,0,9.67,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,1.15,4.59,0,0,0.57,0,0,5.16,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,1.96,0,0,0.98,0,1.96,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0,4.37,0,0,2.19,0,0,0,2.19
108-118,0,0,0,0,0,0.77,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96
