stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,52,2,58,0,2,0,0,0,0,0,0,0,7,0,0,2,52,0,0,0,0,0,0,1,3,3,0,0,0
 24-34,0.82,0,53.36,1.64,135.44,0,0.82,0,0,0,0,0.82,0,0.82,13.95,1.64,0,4.1,57.46,0,0.82,0,0,0.82,0,0,0.82,1.64,0,0,0
 36-46,0,0.81,45.12,1.61,125.68,0,0.81,0.81,0,0.81,0,0,1.61,0,7.25,1.61,0,4.03,26.59,0,0,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,51.07,0.57,113.61,0,0,2.3,0,0,0,1.15,0.57,0,4.02,1.15,0,2.3,14.35,0.57,0,0,0,0.57,0,0,0,1.15,0,0,0
 60-70,0,0,29.45,0,128.58,0,0,2.94,0,0,0,9.82,0,0,1.96,0,0.98,0.98,3.93,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,15.71,0,111.91,0.98,0,10.8,0.98,0,0,10.8,0,0.98,0,0.98,0,0,4.91,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,28.68,0,101.96,0,5.31,8.5,1.06,0,0,21.24,0,0,6.37,1.06,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,25.14,3.28,64.48,0,2.19,12.02,0,0,1.09,19.67,0,0,4.37,0,0,0,8.74,0,0,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,18.38,0,44.43,0,3.83,9.19,2.3,0,0,15.32,0,0,0.77,0,0,0,3.06,0.77,0,0,0,0.77,0,0,0,0,0.77,0,0
120,0,0,13.72,0,43.12,0,3.92,5.88,1.96,0,1.96,5.88,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
