stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,4.1,0,0,0,1.64,0.82,0.82,0,0.82,0,0,0,0,2.46,0,0,96.86,0,6.57,0,0.82,0.82,0.82,0,0,13.13,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,4.03,0.81,0.81,0,0,0,0,0,0,3.22,0,0,298.9,0,21.75,0,0,0,0,0,0,21.75,0,0,0,0,0
 48-58,0,0.57,0,1.72,0,0,57.95,0.57,0.57,0,16.07,0,0,0,0,0,0,0,0,8.03,0.57,1.72,449.86,0,9.18,0,0,0.57,0,0,0,34.43,0,1.15,0,0.57,0
 60-70,0,0,0,2.94,0,0,331.75,0,0.98,0,21.59,0,0,0.98,0,0,0,0,0,10.8,0.98,1.96,930.48,0,9.82,0,0,1.96,0,0.98,0,35.33,0,0,0.98,0,0
 72-82,0,0,0,11.78,3.93,0,538.93,0,0,0,37.3,3.93,0,0,0,0,0,0.98,0,21.6,0.98,0,1012.09,0,29.45,2.94,0,0.98,0,0,0,31.41,7.85,0,1.96,1.96,1.96
 84-94,0,1.06,0,12.74,2.12,0,301.62,0,0,0,31.86,3.19,0,4.25,0,0,0,0,0,21.24,4.25,3.19,535.27,0,19.12,6.37,0,0,3.19,0,0,21.24,25.49,0,2.12,1.06,0
 96-106,0,0,0,15.3,0,0,291.79,1.09,0,2.19,34.97,1.09,0,5.46,1.09,1.09,1.09,3.28,0,9.84,0,0,457.9,0,27.32,3.28,0,3.28,1.09,0,0,10.93,29.51,2.19,3.28,1.09,0
108-118,0,0.77,0,8.43,0.77,0.77,154.72,0,0.77,1.53,13.79,2.3,0,0.77,0.77,0,0,0,0.77,9.96,1.53,0,496.34,0,17.62,1.53,0.77,1.53,0,0,0,6.13,32.17,0,1.53,0,2.3
120,0,0,0,15.68,1.96,0,162.66,0,0,0,25.48,1.96,0,3.92,1.96,1.96,0,0,3.92,9.8,0,0,617.33,1.96,17.64,5.88,0,1.96,5.88,0,0,13.72,9.8,0,0,0,0
