stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,1,0,0,1,0,1,0,1,1,6,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0.82,0,0,1.64,0,1.64,32.01,1.64,0,0.82,0,2.46,0,0,0.82,0,10.67,0,0,0.82,0
 36-46,0,0,0,0.81,0,8.86,0,0,0,4.83,0,1.61,0,0,0,0,0,0,3.22,0.81,0.81,65.26,0.81,2.42,0.81,0,3.22,0,0,0,0,8.06,0,0,0.81,0
 48-58,0,0,0,0,0,8.61,0,0.57,0,6.31,0,0,0,0,0,0,0,0,3.44,0,0.57,60.25,0,0,1.15,0,2.87,0,0,0,0,7.46,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,12.76,0,0,0.98,13.74,0,0,0,0,0.98,0,0,0,1.96,0,0.98,64.78,0,0,0,0,7.85,0,0,0.98,0,7.85,0,0,0,0
 72-82,0,0,0,0,3.93,18.65,0,0,0,6.87,0,0,0,0,0,0.98,0,0,6.87,0.98,0,43.19,0,2.94,0,0,8.83,0,0,0,0,6.87,0,0.98,0,0.98
 84-94,0,0,0,0,2.12,11.68,0,0,0,3.19,1.06,0,0,0,0,0,0,0,5.31,1.06,0,18.05,0,0,0,0,21.24,0,0,0,0,5.31,0,0,0,0
 96-106,0,0,0,4.37,4.37,9.84,0,1.09,0,5.46,1.09,0,1.09,1.09,1.09,1.09,0,1.09,8.74,0,1.09,29.51,0,0,0,0,34.97,0,1.09,0,0,0,2.19,0,1.09,0
108-118,0,0,0,3.06,1.53,4.6,0.77,1.53,0,6.89,0,0.77,0,0.77,0.77,0.77,0,0.77,3.83,0,0,12.26,0,0,0,0,18.38,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,17.64,0,5.88,0,1.96,1.96,0,3.92,0,0,0,0,0,3.92,0,0,45.08,0,0,0,0,39.2,0,0,0,0,0,1.96,0,1.96,0
