stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,3.22,0,0,1.61,0.81,0,3.22,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,0.98,0.98,0,0.98,0
 72-82,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0.98,1.96,0,2.94,0,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,0,3.19,0,0,0,0,1.06,0,0,0,0,0,1.06,0,4.25,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,2.19,0,3.28,1.09,0,0,0,0,0,0,0,0,0,1.09,0,3.28,0,0,1.09,0,0,0,0
108-118,0,0,1.53,0,0.77,3.06,0.77,0,0,0.77,0,0.77,0,0.77,0.77,0,2.3,0,4.6,0,0,1.53,1.53,1.53,0,0
120,0,0,0,0,0,5.88,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,1.96,0,5.88,1.96,0,1.96,0
