stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,18.4,0,18.4,0,0,44.69,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,344.36,21.03,0,0,149.84,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,377.64,12.59,0,0,163.64,0,3.15,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,18,2,7,0,0,4,0,0,0,0,0,0,0,0,12,0,0,9,95,0,0,2,2,1,0,10,0,1,15,35,0,0,2,0,0
 24-34,0,0,0.82,0,2.46,0,14.78,0,0,0.82,0,0,0.82,0,0,0,0,0.82,13.13,0,0,9.85,142.01,0.82,1.64,0.82,0,1.64,0,0,0,0.82,2.46,35.3,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,24.98,0.81,0.81,4.03,0,0,0,0,0,0,0,0,15.31,0,0,2.42,103.13,0.81,0,0,0,3.22,0,0,0,0,0,30.62,0,0,1.61,0,0.81
 48-58,0,0,0,0,0.57,0,27.54,0.57,0.57,5.16,0,0,0,0,0,0,0,1.15,14.92,0,0.57,1.15,53.94,0,0,0,0,1.15,0,0,0,0.57,0,14.92,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,32.39,0.98,0.98,5.89,0,0,0,0,0,0,0.98,0,23.56,0.98,1.96,5.89,60.85,0,0.98,0,0,5.89,0,0,0,0,0,9.82,0,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,25.52,0,0,6.87,0.98,0,0.98,0.98,0,0,0,0,34.36,0,0,3.93,37.3,0,1.96,0,0,3.93,0,0,0,0,0,1.96,0.98,0.98,1.96,0,0
 84-94,0,0,0,0,6.37,1.06,13.81,1.06,1.06,4.25,0,0,0,0,2.12,0,0,0,26.55,1.06,0,2.12,27.61,1.06,0,3.19,0,10.62,0,0,1.06,0,0,0,0,1.06,5.31,0,0
 96-106,0,0,0,0,3.28,1.09,8.74,0,1.09,5.46,2.19,0,1.09,2.19,1.09,1.09,0,0,14.21,0,0,0,25.14,1.09,1.09,1.09,0,9.84,0,0,1.09,0,0,2.19,1.09,0,3.28,1.09,1.09
108-118,0,0,0.77,0,2.3,1.53,14.55,1.53,0,5.36,0.77,0,0,1.53,0,1.53,0,0,18.38,0,1.53,4.6,26.81,0,0,1.53,0,2.3,0,0,0,0,0,2.3,0.77,0,2.3,0.77,1.53
120,0,0,0,0,1.96,1.96,1.96,1.96,0,3.92,1.96,0,0,0,0,0,0,0,17.64,0,0,1.96,13.72,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96
