stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,36,3,44,0,0,0,0,1,0,19,0,0,0,0,1,0,63,0,19,33,2,0,0,1,0,1,5,1,5,16,0,0,0
 24-34,0,0,0.82,0.82,71.41,17.24,78.8,0,0,1.64,5.75,0.82,0,23.8,0,0,0,0,0,0,119.02,0,21.34,69.77,0.82,1.64,1.64,0,3.28,0,0,4.1,0.82,9.85,0,0,0.82
 36-46,0,0,0,0,43.51,3.22,34.64,0,0.81,3.22,1.61,0.81,0,19.34,0,0,0,0,0,0,87.01,5.64,13.7,41.89,0.81,1.61,0.81,0,3.22,0.81,0,6.45,0,4.83,0,0,0
 48-58,0,0,0,0,25.25,8.03,43.04,0,1.15,10.9,2.3,0,0,8.61,0,0.57,0,0,0.57,0,71.73,2.87,15.49,36.15,0.57,2.3,0,0,5.16,0,0,1.72,0,11.48,0,0,0.57
 60-70,0,0,0.98,0,4.91,2.94,38.28,0.98,0,13.74,0,0.98,0,4.91,0,0,0.98,0,0,0,40.24,0.98,0.98,36.32,0,3.93,0,0,0.98,0,0,4.91,0,3.93,0.98,0.98,0.98
 72-82,0,0,0,0,0,6.87,22.58,0,0,6.87,1.96,0,0,0,0,0,0,0,0,0,27.49,1.96,0.98,28.47,0,3.93,0.98,0,0.98,0,0,0.98,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,2.12,5.31,14.87,0,0,8.5,0,1.06,0,0,1.06,0,0,1.06,0,0,25.49,1.06,3.19,20.18,0,4.25,0,0,4.25,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,0,0,6.56,19.67,0,1.09,5.46,2.19,0,0,0,1.09,0,0,0,0,0,32.79,0,0,13.11,1.09,17.49,2.19,0,1.09,0,0,1.09,0,1.09,0,0,1.09
108-118,0,0,0,0,2.3,5.36,14.55,0,0,3.06,3.83,0,0,0,1.53,0,0,0,0,0.77,29.11,0.77,1.53,16.09,0,12.26,0.77,0,3.06,0,0,0.77,0,0,0,0,1.53
120,0,0,0,0,0,1.96,7.84,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,29.4,0,0,13.72,0,7.84,0,0,0,0,0,3.92,0,0,1.96,0,0
