stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,232.93,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0
  7-9,2.63,2.63,2.63,0,2.63,0,7.89,0,0,0,68.35,2.63,31.54,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,37.76,3.15,12.59,0,3.15,0,0
 14-21,0,0,0,2,1,1,0,0,1,0,6,0,0,0,0,1,2
 24-34,0,0,0,0,0.82,0,0,0,0.82,0.82,13.13,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0.81,0,0,1.61
 48-58,0,0,0,0,4.02,0.57,0,0,0.57,0,2.87,0,0,0,0,0,0
 60-70,0,0,0,0,3.93,0.98,0,0,0.98,0.98,2.94,0,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0
