stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,1,0,1,8,0,0,0,1,1,5,1
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0.82,8.21,0,0,0.82,0,0,0.82,0.82
 36-46,0,0.81,0,0.81,0,0,0,0.81,0,4.03,0,0.81,8.86,0,0,0,0,0,0.81,0
 48-58,0,0,0,1.72,0,0.57,0,0,0,0.57,0,0,4.02,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.94,0,0,2.94,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,2.94,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0.77,0.77,0,0,0,0.77,0.77,0.77,0,2.3,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
