stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,42.91,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,2.63,15.77,0,0,0,26.29,0,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,110,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,5.75,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,0,0,38.58,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0.81,0,0,0,0,0,4.03,0,0,0,20.95,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,5.16,0,0,0,1.72,0,0,0,0,0,0,0,0,8.03,0,0,0,26.4,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,6.87,0,0,0,8.83,0,0,0,0,0,0,0,0,9.82,0.98,0,1.96,37.3,0,0,0.98,0,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,1.96,0,18.65,0,0,0.98,14.72,0,0,0,0,0,0,0,0,9.82,0,0,1.96,72.64,0,0,1.96,0,1.96,0,3.93,0.98,0
 84-94,0,0,0,0,0,0,16.99,0,1.06,1.06,7.43,0,0,0,0,0,0,0,0,19.12,0,0,0,64.78,0,0,2.12,0,2.12,1.06,0,1.06,0
 96-106,0,0,0,2.19,0,1.09,16.39,0,1.09,0,8.74,0,0,0,2.19,0,1.09,0,0,12.02,0,0,1.09,60.11,0,0,4.37,0,1.09,2.19,0,0,1.09
108-118,0,0,0,0,0,0,19.92,0,0,1.53,10.72,0.77,0,1.53,0,0.77,0,0.77,0.77,9.19,0,0,0.77,87.32,0,0,0,0,3.83,0.77,1.53,0,0
120,0,0,0,1.96,1.96,0,13.72,1.96,0,0,19.6,3.92,0,0,0,0,0,0,0,3.92,0,1.96,0,103.87,1.96,1.96,1.96,0,1.96,0,1.96,1.96,0
