stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,239.06,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,5.26,0,0,0,2.63,0,0,0,0,107.78,5.26,28.92,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,18.88,0,0,0,0,0,0,0,0,84.97,0,15.73,0,0,9.44,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,1,20,0,0,0,2,1,0,3,0,0
 24-34,0,0,0,0.82,2.46,0,0.82,0,0,0,0,1.64,0,30.37,0,0,0,0,0,0.82,4.93,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0.81,0,1.61,0.81,20.95,0,0,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0.57,5.74,0,0.57,0,0,0,0,2.3,0,8.61,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0.98,2.94,0,0,0,0,4.91,0,6.87,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,5.89,0,0,0,0,0,0,4.91,0,4.91,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,1.53,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,1.96
