stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,neural,notochord,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,4.93,0,0.82,0.82
 36-46,0,0,0,0.81,0.81,0,0.81,0,0.81,0,4.83,0,0,0
 48-58,0.57,0,0,0,0.57,0,0,0,1.15,0.57,5.16,0.57,0,2.3
 60-70,0,2.94,0,0,1.96,0,0,0.98,1.96,0,1.96,0,0,0
 72-82,0,1.96,0,0.98,0,0,0,0,3.93,0,4.91,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,1.06,0,4.25,0,0,0
 96-106,0,1.09,0,0,1.09,0,0,0,3.28,0,1.09,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0.77,0,0.77,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
