stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,26,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0.82,63.21,0,1.64,0.82,0,4.1,0.82,1.64,90.29,0,0
 36-46,0,0,0,1.61,0,0,2.42,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,58.81,0,0.81,0,0,1.61,0,0,78.96,0,0
 48-58,0,0,0,1.72,0,0,2.87,0,0,0,2.3,0,0,0,0.57,0.57,0.57,1.72,0,0,1.15,39.02,0,0.57,0,0,1.15,0,0,35.58,0,0
 60-70,0,0,0,1.96,0,0,2.94,0,0,0,0.98,0.98,0,0.98,0,0,0,8.83,0.98,0,0,27.48,0,0,0,0,0.98,0,0,19.63,0.98,0.98
 72-82,0,0,0,0.98,0,0,7.85,0.98,0,2.94,0.98,0,0,0,0,0,0.98,2.94,0,0,0,40.25,0,0,1.96,0,0,0,0,21.6,3.93,0
 84-94,0,0,0,1.06,0,0,4.25,0,0,0,1.06,1.06,0,0,0,1.06,0,3.19,0,0,2.12,16.99,0,0,0,0,3.19,0,0,4.25,9.56,1.06
 96-106,0,1.09,0,4.37,0,1.09,10.93,0,0,0,4.37,2.19,1.09,1.09,0,0,0,2.19,1.09,0,0,21.86,0,2.19,0,0,2.19,0,0,6.56,10.93,0
108-118,0,0.77,0,3.06,0,0,8.43,0,0.77,0,2.3,1.53,0,0.77,0.77,0,0,2.3,0,0.77,0.77,15.32,0,0,0,0,1.53,0,0,0.77,10.72,0
120,0,1.96,0,0,0,0,5.88,0,0,1.96,1.96,0,0,0,0,0,3.92,1.96,0,0,0,23.52,0,0,0,0,1.96,0,0,5.88,5.88,0
