stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,37,4,0,6,1,2,0,4,0,1,0,0
 24-34,0,0,0,1.64,0,0.82,1.64,0,0,0,0,0.82,0,0,0,0,33.66,0,0,7.39,0,0,0,4.1,0.82,0,2.46,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,1.61,0.81,0.81,0,0,0,0,42.7,0,1.61,1.61,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0.57,0,6.89,0,1.15,1.15,0.57,0,0.57,18.94,0.57,0,4.02,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,2.94,0,5.89,1.96,3.93,0,0,0,0.98,15.7,0,2.94,6.87,0,0,0,0.98,0,0,1.96,0
 72-82,0,0,0,0,0.98,2.94,0,12.76,0,4.91,0,4.91,0.98,0.98,0.98,0,21.6,0,0.98,11.78,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,2.12,0,2.12,0,3.19,0,6.37,0,3.19,0,0,0,0,8.5,0,0,25.49,0,1.06,0,6.37,0,0,0,0
 96-106,0,0,0,3.28,0,2.19,0,6.56,0,0,1.09,7.65,1.09,0,1.09,0,14.21,0,6.56,27.32,0,2.19,0,1.09,0,0,0,0
108-118,0,0,0.77,0.77,0.77,1.53,0,9.19,0.77,0,1.53,5.36,0,0,0,0,12.26,0,2.3,26.81,0,3.06,0,5.36,0,0,0,1.53
120,1.96,0,0,7.84,0,1.96,0,13.72,0,0,3.92,3.92,3.92,0,0,0,11.76,0,5.88,13.72,0,0,0,7.84,0,0,0,0
