stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,15.77,2.63,13.14,0,0,0
 10-12,3.15,0,6.29,0,0,0,0,31.47,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,1.72,0,0,0,0,4.02,0,0,0,0,1.15
 60-70,0,0,1.96,0,1.96,0,0,25.52,0,0,0,0,5.89
 72-82,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,1.06,4.25,0,0,0,0,0
 96-106,0,1.09,2.19,0,0,1.09,2.19,7.65,0,0,0,0,0
108-118,0,0,3.83,0.77,0,0,0,7.66,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0
